"Site","LUtype","Chamber","SampleDate","GasType","LinearR2","LinearSlope","LinearInt","LinearFlux","QuadR2","QuadSlope","Quad2der","QuadFlux","FluxID"
"F1","F","A","2013.07.24","N2O",0.612687079722097,0.000994831800658759,0.187975353984819,0.753977785762428,0.708681655645916,0.00231561004532215,-4.40259414887799e-05,1.75498866592837,"F1_2013.07.24_A"
"F1","F","A","2013.07.24","CO2",0.904741652655541,0.00501159426298059,0.156583724329919,3.79826091510108,0.99886441388686,0.0104333157210914,-0.000180724048603692,7.90735507282713,"F1_2013.07.24_A"
"F1","F","A","2013.07.24","CH4",0.994635735196078,-3.85035058133989e-06,0.000602793198289484,-0.00291816044059444,0.998229362799065,-4.62661743408072e-06,2.58755617580277e-08,-0.0035064890026717,"F1_2013.07.24_A"
"F1","F","B","2013.07.24","N2O",0.313391272252868,0.0010185892960054,0.195832905865048,0.771983466446199,0.612465655605075,0.00435609124879376,-0.000111250065092945,3.30145863066474,"F1_2013.07.24_B"
"F1","F","B","2013.07.24","CO2",0.981207644455322,0.0106342789338541,0.210921329432657,8.05966403407892,0.996948764053152,0.00611653453086186,0.000150591480099743,4.6356893286532,"F1_2013.07.24_B"
"F1","F","B","2013.07.24","CH4",0.763026157500734,-1.90993466853414e-06,0.000603272189270894,-0.0014475294329943,0.925307894750426,1.04440131471229e-06,-9.84778661082145e-08,0.000791546259571421,"F1_2013.07.24_B"
"F1","F","C","2013.07.24","N2O",0.570197066387532,-0.00116417053991206,0.243948758772472,-0.882318724985982,1,0.00272616371303879,-0.00013616169885328,2.06614512988203,"F1_2013.07.24_C"
"F1","F","C","2013.07.24","CO2",0.668661626572079,0.00346365027733656,0.158465668190124,2.62508231545508,1,0.0128482297494438,-0.000328460281523755,9.73760570484164,"F1_2013.07.24_C"
"F1","F","C","2013.07.24","CH4",0.261657773682969,-1.14244851959846e-06,0.000584815484831342,-0.000865855720116725,1,6.24418895929919e-06,-2.58532311761418e-07,0.00473243794810044,"F1_2013.07.24_C"
"F1","F","D","2013.07.24","N2O",0.00618685771630904,-0.00017322729790868,0.214823454443591,-0.131288057362368,0.00629245342293405,-0.000249134093579029,2.53022652234498e-06,-0.188817418291475,"F1_2013.07.24_D"
"F1","F","D","2013.07.24","CO2",0.826384671620746,0.00358690774017902,0.15017187581519,2.71849849781989,0.990524963528773,0.00894873652245257,-0.000178727626075785,6.78220031175353,"F1_2013.07.24_D"
"F1","F","D","2013.07.24","CH4",0.959852309213616,-3.84147417504101e-06,0.000583462730081643,-0.00291143305897845,0.995723568043083,-6.33231101805874e-06,8.30278947672577e-08,-0.00479922519263399,"F1_2013.07.24_D"
"F1","F","E","2013.07.24","N2O",0.0906898928903213,-0.000445373135859271,0.21462423239741,-0.337545955598605,0.512601224655601,0.00277667058562,-0.000107401457382642,2.10442402278569,"F1_2013.07.24_E"
"F1","F","E","2013.07.24","CO2",0.964584974738245,0.00912024708470864,0.136184144372047,6.91218726420023,0.974120878145009,0.00607870702502368,0.000101384668656165,4.60702006107058,"F1_2013.07.24_E"
"F1","F","E","2013.07.24","CH4",0.810733876437922,-4.35077892135919e-06,0.000650444426971642,-0.0032974324456617,0.998969877510383,-1.13824000243411e-05,2.34387370099398e-07,-0.00862666107107958,"F1_2013.07.24_E"
"M2","M","A","2013.07.23","N2O",0.316581238272119,0.000960420719954857,0.173693690134176,0.727897808807892,0.952281168548092,-0.00360437426598705,0.00015215983286473,-2.73173628580071,"M2_2013.07.23_A"
"M2","M","A","2013.07.23","CO2",0.995728540552946,0.00450970117313528,0.106447382840031,3.4178787838499,0.998888134611479,0.00536175924070523,-2.8401935585665e-05,4.06364910874501,"M2_2013.07.23_A"
"M2","M","A","2013.07.23","CH4",2.42224223937206e-05,-2.67966982607674e-09,0.000591846747049972,-2.03090765765816e-06,0.0742129605099051,-5.00093381291117e-07,1.65804570488347e-08,-0.00037901814161011,"M2_2013.07.23_A"
"M2","M","B","2013.07.23","N2O",0.707287568155828,0.0021076520591489,0.157831566895785,1.59737840272338,0.973359699834544,-0.00222822401142939,0.00014452920235261,-1.68875925076754,"M2_2013.07.23_B"
"M2","M","B","2013.07.23","CO2",0.941333653865865,0.00300317581451637,0.113980820951425,2.27609114363346,0.988156520784242,0.000756635445379843,7.48846789712176e-05,0.573450021761565,"M2_2013.07.23_B"
"M2","M","B","2013.07.23","CH4",0.912559876503276,1.05244032419049e-06,0.000599701529227651,0.000797638982544368,0.992544346974051,2.0975115563592e-06,-3.48357077389572e-08,0.00158969296903013,"M2_2013.07.23_B"
"M2","M","C","2013.07.23","N2O",0.749542016325853,-0.00173174029981882,0.238683224209658,-1.31247685881005,0.873227557402874,0.000627762517175178,-7.86500938998e-05,0.475777907753819,"M2_2013.07.23_C"
"M2","M","C","2013.07.23","CO2",0.934447810058639,0.00386381067552979,0.124846111510404,2.92836177513837,0.990227868143572,0.00703012521452531,-0.000105543817966517,5.32809489942971,"M2_2013.07.23_C"
"M2","M","C","2013.07.23","CH4",0.7960654958286,-8.33712274637211e-07,0.000615558475423442,-0.000631866144988202,0.996832633550386,5.70602193589605e-07,-4.68104822742272e-08,0.000432456399352122,"M2_2013.07.23_C"
"M2","M","D","2013.07.23","N2O",0.177067744321097,-0.000677834368354152,0.163452043410752,-0.513727100226305,1,0.00438421671413674,-0.000253102554124545,3.32277477281943,"M2_2013.07.23_D"
"M2","M","D","2013.07.23","CO2",0.952717625162659,0.00470448710639485,0.106883485742693,3.5655060174782,1,0.00833502059052174,-0.000181526674206345,6.317068237027,"M2_2013.07.23_D"
"M2","M","D","2013.07.23","CH4",0.922953289827557,-9.62168946924652e-07,0.000625187980596349,-0.000729222780827104,1,-1.92517529066975e-06,4.81503171872548e-08,-0.00145908022029707,"M2_2013.07.23_D"
"M2","M","E","2013.07.23","N2O",0.0120069353633572,-0.00023672266663778,0.209101413748219,-0.179410863136001,0.167325426964631,0.00261897088836952,-9.518978516691e-05,1.98490425223795,"M2_2013.07.23_E"
"M2","M","E","2013.07.23","CO2",0.936300189762091,0.00519823224246883,0.0935898422472547,3.93971285745006,0.965445739960715,0.00827440352334651,-0.000102539042695923,6.27112688085209,"M2_2013.07.23_E"
