"sitehere","SampleDate","Site","LUtype","meanfluxN2Ol","sdfluxN2Ol","meanR2N2Ol","sdR2N2Ol","meanfluxCO2l","sdfluxCO2l","meanR2CO2l","sdR2CO2l","meanfluxN2Oq","sdfluxN2Oq","meanR2N2Oq","sdR2N2Oq","meanfluxCO2q","sdfluxCO2q","meanR2CO2q","sdR2CO2q"
"F1_2013.07.24","2013.07.24","F1","F",-0.187315599185081,1.1286097306313,0.241032445031493,0.236948685790617,4.76399089220344,2.57442492385461,0.845965178676888,0.174701442583273,3.06079211887065,3.20243243344966,0.491336166164886,0.279880345882,6.65352021084849,2.06401321398935,0.991390479016046,0.0101462064153792
"M2_2013.07.23","2013.07.23","M2","M",1.16085772343794,2.38789298088128,0.466287336424875,0.305554434614896,3.95920601720517,1.93087489993601,0.931591326255501,0.0521346767516653,-1.94827117005751,3.7434643366825,0.766327989082413,0.338192511669876,2.99739964408799,3.2092250105073,0.979357768039445,0.0187749761372525
"S3_2013.07.23","2013.07.23","S3","S",-0.348954936229175,0.44509594407807,0.310830513265869,0.31403553481322,1.1680998272693,0.548824593387439,0.759704814931383,0.210736212947215,-2.67096105777082,1.73277665778985,0.715169427597932,0.192120076279852,0.532857363822718,1.81584154348733,0.861424127696879,0.184108639074773
"F3_2013.07.23","2013.07.23","F3","F",0.126927937376153,1.17885589043203,0.595573162655109,0.0451444660050181,3.84093524493908,2.01759809081261,0.969024437350893,0.0224552854759469,2.17182421090569,1.35651139528605,0.897364275958426,0.104967879366019,3.52871236060038,0.926239599204144,0.987121445091739,0.0178206678436947
"M3_2013.07.24","2013.07.24","M3","M",-0.100807588940285,0.556375178727308,0.234876568213832,0.176768415784408,1.00624570636355,0.479756080220555,0.677939062147808,0.342701432500984,0.979957152640003,2.03279331299389,0.561996136676747,0.289219987792715,1.63961713561025,2.24757128038563,0.88111950525829,0.178519293489687
"S2_2013.07.24","2013.07.24","S2","S",0.0721196142903233,0.830769753446561,0.241925455384196,0.337573739635184,-1.09313257845034,4.98484406105108,0.450298943506477,0.35648506653185,0.487178814088139,4.7126708150059,0.600521074425434,0.43227509568672,1.35622580487253,5.24455511209734,0.532299454120351,0.415155551215235
"S1_2013.07.19","2013.07.19","S1","S",0.453347289077512,1.10285512331275,0.655035537036162,0.227820181860695,1.66219594028705,0.978700744779958,0.864802169645386,0.119014823552608,0.335858018852935,0.102346246330293,0.875371357052033,0.0224420855388756,1.34226422165024,1.73483325016359,0.954194504352588,0.0745632226189103
"M1_2013.07.19","2013.07.19","M1","M",-0.562307546891542,1.34683092036632,0.420179733514943,0.384769825536587,1.20560056162566,0.380881765244301,0.736643338617558,0.238701932809091,-1.10487874325242,2.19683878645325,0.65169824295077,0.352346243014149,1.78014219717404,1.20087542685692,0.816257867253779,0.239502920744324
"S1_2013.06.27","2013.06.27","S1","S",0.456158601854701,0.647899965991701,0.45004511443513,0.392486285521278,3.31296876062804,1.25120641998605,0.86446563656202,0.0603758610581373,1.92440458532572,1.4847482413671,0.839213985580556,0.151019084096401,6.60549022460456,2.75216588183638,0.945475053590163,0.0379967170121584
"F2_2013.06.25","2013.06.25","F2","F",-0.417516347586077,0.914890405438908,0.627292158120239,0.379493484753028,5.14185505906939,1.23134609901792,0.96443269974905,0.01831370278084,-0.975593532168043,2.10469107007822,0.83614414255791,0.217200465851245,4.79627252529025,2.05514614180841,0.988819225266554,0.0110417380689184
"M1_2013.06.25","2013.06.25","M1","M",0.499649283217881,1.39397843954961,0.531225548321937,0.359802114292822,1.51931457706864,0.721734059528914,0.821712164695981,0.302599043848119,0.671013600137922,2.73868973217052,0.884316863686312,0.127274461650792,1.40796391708213,2.12400789807196,0.972277235788628,0.0388226586858861
"S1_2013.06.25","2013.06.25","S1","S",0.00386132217711155,0.447646978190755,0.205094948726977,0.20953154621244,3.15116533581499,1.06230670829762,0.873278100619268,0.153011206613559,-1.68887844877105,1.80916473911853,0.555042751817296,0.426414999395692,3.27711469859269,4.1491930714627,0.928988566935147,0.11091674217025
"M1_2013.06.27","2013.06.27","M1","M",-0.151697009745073,0.948738348159589,0.507128472550533,0.216893132223063,0.765403454849506,0.839160270280587,0.138392537525943,0.141025154863043,0.133184588376958,2.52291795858896,0.85656220546132,0.070120421766642,-1.3945601768916,7.88528241618594,0.71372382839742,0.32711960288538
"F2_2013.06.27","2013.06.27","F2","F",0.151601072710409,0.88351696240386,0.318523859219147,0.370411184442892,5.91561165088519,2.05435561816061,0.91566108681526,0.0483742689158707,0.250536139711124,2.11559059395918,0.666641312648208,0.1517288535758,8.14694592182294,4.05859752848356,0.964085233456032,0.0312875713790558
"M1_2013.07.01","2013.07.01","M1","M",-0.169054760374538,0.713907759574726,0.317330031251836,0.326482824140763,1.02066366048855,0.830850378443496,0.650873833099388,0.346069310193691,0.4000916977895,2.79357337917584,0.782250134338577,0.167944488522714,0.81080168541607,3.2133588148815,0.863230758144708,0.120599078751203
"S1_2013.07.01","2013.07.01","S1","S",-0.140198270875673,0.362708520798133,0.184914727882465,0.139308631470409,2.83991818672126,0.951932827761365,0.89182815257771,0.15431401764904,-0.231115742836339,2.02312672705563,0.623084112087767,0.305264768379691,2.35241696153256,4.07122030178924,0.986615288867187,0.00847595400726872
"F2_2013.06.13","2013.06.13","F2","F",0.114389757862365,1.11509055837747,0.50840153251354,0.364551949598423,4.85768471147428,1.13685227160311,0.951327423436543,0.0736871339273548,-0.086050534554478,2.97771435186211,0.929372486820157,0.131022879483419,5.32620712493224,2.42292552964414,0.983793660873937,0.0242473012249239
"S1_2013.06.13","2013.06.13","S1","S",-0.103173493512132,0.518407348913614,0.221481629482677,0.186341389075823,3.11942626475956,0.653429101460222,0.926097869756687,0.0484274259939161,0.595825714644405,1.57720693511722,0.595652270291778,0.331436994803834,3.5511977539794,2.47719237256534,0.962720463717138,0.0633609118061884
"M1_2013.06.14","2013.06.14","M1","M",-0.067265309081599,0.9442686983243,0.517189355891281,0.386573364419927,1.44726711431317,0.838334676383216,0.60815474216039,0.36862753576728,-0.710223541761645,1.97949336114684,0.585637312509465,0.393345929597651,-0.160639186977475,2.76889656853117,0.778931974176852,0.406418223629199
