GCRun	RunOrder	Pressure	SampleDate	SampleName	Site	LUtype	Chamber	TimePt	TimePtSq
20140310_U	1	Y	NA	Mix1	NA	NA	NA	NA	NA
20140310_U	2	Y	NA	Mix2	NA	NA	NA	NA	NA
20140310_U	3	Y	NA	3N2O	NA	NA	NA	NA	NA
20140310_U	4	Y	NA	10N2O	NA	NA	NA	NA	NA
20140310_U	5	Y	NA	3KCO2	NA	NA	NA	NA	NA
20140310_U	6	Y	NA	amb	NA	NA	NA	NA	NA
20140310_U	7	Y	NA	amb	NA	NA	NA	NA	NA
20140310_U	8	Y	NA	amb	NA	NA	NA	NA	NA
20140310_U	9	Y	NA	amb	NA	NA	NA	NA	NA
20140310_U	10	Y	2014.02.20	SM-C-20-T0	SM	S	C	0	0
20140310_U	11	Y	2014.02.20	SM-C-20-T15	SM	S	C	15	225
20140310_U	12	Y	2014.02.20	SM-C-20-T30	SM	S	C	30	900
20140310_U	13	Y	2014.02.20	SM-C-20-T45	SM	S	C	45	2025
20140310_U	14	Y	2014.02.20	SM-A-20-T0	SM	S	A	0	0
20140310_U	15	Y	2014.02.20	SM-A-20-T15	SM	S	A	15	225
20140310_U	16	Y	2014.02.20	SM-A-20-T30	SM	S	A	30	900
20140310_U	17	Y	2014.02.20	SM-A-20-T45	SM	S	A	45	2025
20140310_U	18	Y	2014.02.20	SM-B-20-T0	SM	S	B	0	0
20140310_U	19	Y	2014.02.20	SM-B-20-T15	SM	S	B	15	225
20140310_U	20	Y	2014.02.18	M3-C-18-T30	M3	M	C	30	900
20140310_U	21	Y	2014.02.18	M3-C-18-T45	M3	M	C	45	2025
20140310_U	22	Y	2014.02.18	M3-D-18-T0	M3	M	D	0	0
20140310_U	23	Y	2014.02.18	M3-D-18-T15	M3	M	D	15	225
20140310_U	24	Y	2014.02.18	M3-D-18-T30	M3	M	D	30	900
20140310_U	25	Y	2014.02.18	M3-D-18-T45	M3	M	D	45	2025
20140310_U	26	Y	2014.02.18	M3-E-18-T0	M3	M	E	0	0
20140310_U	27	Y	2014.02.18	M3-E-18-T15	M3	M	E	15	225
20140310_U	28	Y	2014.02.18	M3-E-18-T30	M3	M	E	30	900
20140310_U	29	Y	2014.02.18	M3-E-18-T45	M3	M	E	45	2025
20140310_U	30	Y	2014.02.18	M3-A-18-T0	M3	M	A	0	0
20140310_U	31	Y	2014.02.18	M3-A-18-T15	M3	M	A	15	225
20140310_U	32	Y	2014.02.18	M3-A-18-T30	M3	M	A	30	900
20140310_U	33	Y	2014.02.18	M3-A-18-T45	M3	M	A	45	2025
20140310_U	34	Y	2014.02.18	M3-B-18-T0	M3	M	B	0	0
20140310_U	35	Y	2014.02.18	M3-B-18-T15	M3	M	B	15	225
20140310_U	36	Y	2014.02.18	M3-B-18-T30	M3	M	B	30	900
20140310_U	37	Y	2014.02.18	M3-B-18-T45	M3	M	B	45	2025
20140310_U	38	Y	2014.02.18	M3-C-18-T0	M3	M	C	0	0
20140310_U	39	Y	2014.02.18	M3-C-18-T15	M3	M	C	15	225
20140310_U	40	Y	2014.02.14	M3-C-14-T30	M3	M	C	30	900
20140310_U	41	Y	2014.02.14	M3-C-14-T45	M3	M	C	45	2025
20140310_U	42	Y	2014.02.14	M3-D-14-T0	M3	M	D	0	0
20140310_U	43	Y	2014.02.14	M3-D-14-T15	M3	M	D	15	225
20140310_U	44	Y	2014.02.14	M3-D-14-T30	M3	M	D	30	900
20140310_U	45	Y	2014.02.14	M3-D-14-T45	M3	M	D	45	2025
20140310_U	46	Y	2014.02.14	M3-E-14-T0	M3	M	E	0	0
20140310_U	47	Y	2014.02.14	M3-E-14-T15	M3	M	E	15	225
20140310_U	48	Y	2014.02.14	M3-E-14-T30	M3	M	E	30	900
20140310_U	49	Y	2014.02.14	M3-E-14-T45	M3	M	E	45	2025
