"Labels","ambNinfo","ambCinfo","GCrun"
"Amb1",26.3842,68.8652,"20131104_AA"
"Amb2",27.044,64.6178,"20131104_AA"
"Amb3",26.7798,61.7046,"20131104_AA"
"Amb4",26.8464,63.51,"20131104_AA"
"Mean",26.7636,64.6744,"20131104_AA"
"Std",0.276698873627391,3.0409180412062,"20131104_AA"
"Count",4,4,"20131104_AA"
"CV",0.0103386268524186,0.0470188829151287,"20131104_AA"
"Amb1",27.7716,82.8034,"20131105_BB"
"Amb2",29.4736,79.8722,"20131105_BB"
"Amb3",28.9208,84.8152,"20131105_BB"
"Amb4",29.2508,78.5244,"20131105_BB"
"Mean",28.8542,81.5038,"20131105_BB"
"Std",0.756616644455214,2.83979301123632,"20131105_BB"
"Count",4,4,"20131105_BB"
"CV",0.026222062800397,0.0348424614709538,"20131105_BB"
"Amb1",13.0648,55.7472,"20131105_U"
"Amb2",11.9532,55.4462,"20131105_U"
"Amb3",12.1828,53.5024,"20131105_U"
"Amb4",12.0868,53.5412,"20131105_U"
"Mean",12.3219,54.55925,"20131105_U"
"Std",0.504136529126783,1.20433428775679,"20131105_U"
"Count",4,4,"20131105_U"
"CV",0.0409138630508917,0.0220738790902879,"20131105_U"
"Amb1",28.3408,69.81,"20131106_V"
"Amb2",28.6218,69.5212,"20131106_V"
"Amb3",28.3364,67.9436,"20131106_V"
"Amb4",28.174,71.1484,"20131106_V"
"Mean",28.36825,69.6058,"20131106_V"
"Std",0.186000528673084,1.31546929522002,"20131106_V"
"Count",4,4,"20131106_V"
"CV",0.00655664444134143,0.0188988460044999,"20131106_V"
"Amb1",11.8928,67.0048,"20131106_W"
"Amb2",12.2492,77.9324,"20131106_W"
"Amb3",12.014,66.8712,"20131106_W"
"Amb4",12.1948,67.672,"20131106_W"
"Mean",12.0877,69.8701,"20131106_W"
"Std",0.164286700618158,5.38626865897596,"20131106_W"
"Count",4,4,"20131106_W"
"CV",0.0135912291517954,0.0770897516817059,"20131106_W"
"Amb1",28.048,72.3246,"20131107_X"
"Amb2",28.358,74.8794,"20131107_X"
"Amb3",28.7968,73.435,"20131107_X"
"Amb4",28.368,73.0868,"20131107_X"
"Mean",28.3927,73.43145,"20131107_X"
"Std",0.307641067913026,1.07089874249,"20131107_X"
"Count",4,4,"20131107_X"
"CV",0.0108352170773835,0.0145836524062919,"20131107_X"
"Amb1",12.3404,58.3176,"20131107_Y"
"Amb2",12.0608,60.0192,"20131107_Y"
"Amb3",12.6902,60.1608,"20131107_Y"
"Amb4",12.7612,61.9504,"20131107_Y"
"Mean",12.46315,60.112,"20131107_Y"
"Std",0.325237651571893,1.48442797063381,"20131107_Y"
"Count",4,4,"20131107_Y"
"CV",0.0260959429656141,0.0246943700198597,"20131107_Y"
"Amb1",27.5396,78.1234,"20131108_Z"
"Amb2",27.4938,80.1592,"20131108_Z"
"Amb3",26.9764,78.943,"20131108_Z"
"Amb4",27.6272,81.0882,"20131108_Z"
"Mean",27.40925,79.57845,"20131108_Z"
