"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"M1-A-27-T0",0.109765495428286,532.259852887309,1.31925896994681,"20131106_V"
"M1-B-27-T0",0.159819613053584,390.234231915336,1.31709174782772,"20131106_V"
"M1-C-27-T0",0.125084911186056,290.907425923909,1.37087826041958,"20131106_V"
"M1-D-27-T0",0.153063578576141,411.107206145865,1.12897030055131,"20131106_V"
"M1-E-27-T0",0.11725307504023,271.773866212591,1.32641737027955,"20131106_V"
"F2-A-27-T0",0.13468106206803,404.052528932493,1.37921878190819,"20131106_V"
"F2-B-27-T0",0.161055806970708,515.167160012276,1.37265144215338,"20131106_V"
"F2-C-27-T0",0.121505425634892,286.361386383661,1.15527249626931,"20131106_V"
"F2-D-27-T0",0.144292860974271,503.899080298186,1.35288374949141,"20131106_V"
"F2-E-27-T0",0.113239356815646,332.823157873895,1.1342898457527,"20131106_V"
"M1-A-01-T0",0.11174497049811,367.046658284741,1.2771623221185,"20131106_V"
"M1-B-01-T0",0.124216445839216,276.222886616309,1.14975593087527,"20131106_V"
"M1-C-01-T0",0.157089032818926,508.635693142331,1.20856645837955,"20131106_V"
"M1-D-01-T0",0.134223357358209,409.537575115582,1.3991834947628,"20131106_V"
"M1-E-01-T0",0.140975479829586,373.602379938819,1.42512448679428,"20131106_V"
"S1-A-01-T0",0.144112908695196,339.967924285474,1.35820329469281,"20131106_V"
"S1-B-01-T0",0.120296615760236,426.262981259467,1.38755930339679,"20131106_V"
"S1-C-01-T0",0.125264863465131,371.869895357931,1.20945304924645,"20131106_V"
"S1-D-01-T0",0.151956480859223,350.785558008534,1.11297882824836,"20131106_V"
"S1-E-01-T0",0.127346050692693,271.462018988031,1.11652519171595,"20131106_V"
"M1-B1-19-T0",0.153321770976553,355.11330449159,1.13537345681224,"20131106_V"
"M1-B2-19-T0",0.124099085657211,275.048262070468,1.0886468344568,"20131106_V"
"time zero mean",0.134291284009006,375.642774279309,1.26024843709544,"20131106_V"
"time zero sd",0.0165877722182874,83.1398176155012,0.115519851600819,"20131106_V"
"time zero CV",0.123520840095437,0.221326811822774,0.091664348235228,"20131106_V"
"time zero sd allow",2,2,2,"20131106_V"
"time zero upper limit",0.167466828445581,541.922409510312,1.49128814029708,"20131106_V"
"time zero lower limit",0.101115739572431,209.363139048307,1.02920873389381,"20131106_V"
