"timezeroLabs","timezeroNinfo","timezeroCinfo","GCrun"
"M1-A-04-T0",0.146329383487566,176.130800283384,"20131108_Z"
"M1-B-04-T0",0.168912883479127,288.148814531151,"20131108_Z"
"M1-C-04-T0",0.172991235100605,268.607041544071,"20131108_Z"
"M1-D-04-T0",0.172704708572453,250.357643547127,"20131108_Z"
"M1-E-04-T0",0.179934852003596,310.278659799246,"20131108_Z"
"S1-A-04-T0",0.165917378866636,293.567487047629,"20131108_Z"
"S1-B-04-T0",0.159989628745272,282.846422540777,"20131108_Z"
"S1-C-04-T0",0.169984567116887,283.839790463786,"20131108_Z"
"S1-D-04-T0",0.151978049328262,190.516362512907,"20131108_Z"
"S1-E-04-T0",0.149920267898812,194.941667106377,"20131108_Z"
"F2-A-04-T0",0.165448517275116,224.682903383211,"20131108_Z"
"F2-B-04-T0",0.146496834055966,249.301151909947,"20131108_Z"
"F2-C-04-T0",0.161928334214971,270.324671029675,"20131108_Z"
"F2-D-04-T0",0.18835575503225,312.521212802694,"20131108_Z"
"F2-E-04-T0",0.197833457203696,352.67121731627,"20131108_Z"
"S1-A-17-T0",0.244187495660588,356.870605459023,"20131108_Z"
"S1-B-17-T0",0.178985965449329,243.686463649463,"20131108_Z"
"S1-C-17-T0",0.196825032669553,241.726306209413,"20131108_Z"
"S1-D-17-T0",0.191258231551185,278.537398473412,"20131108_Z"
"S1-E-17-T0",0.201733194885548,263.560466711128,"20131108_Z"
"F2-D-17-T0",0.183079201565776,327.195815197106,"20131108_Z"
"F2-E-17-T0",0.191295442788608,349.627989833073,"20131108_Z"
"time zero mean",0.176640473497809,273.179131425039,"20131108_Z"
"time zero sd",0.0225606928552669,50.5594398366081,"20131108_Z"
"time zero CV",0.12772097135228,0.18507797273117,"20131108_Z"
"time zero sd allow",2,2,"20131108_Z"
"time zero upper limit",0.221761859208343,374.298011098256,"20131108_Z"
"time zero lower limit",0.131519087787275,172.060251751823,"20131108_Z"
