"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"F2-A-12-T0",0.272223059500978,473.481781635766,1.09249818994127,"20140311_W"
"F2-D-12-T0",0.264832455675546,436.231306822329,1.17014301907155,"20140311_W"
"S3-D-06-T0",0.269637538275414,377.70201822925,1.23105574912168,"20140311_W"
"S3-E-06-T0",0.271131130513887,382.033802362349,1.10801400677002,"20140311_W"
"S3-A-06-T0",0.252651645666965,374.890661639557,1.09401032463221,"20140311_W"
"S3-B-06-T0",0.276807971133421,371.867736122833,1.16429171526749,"20140311_W"
"S3-C-06-T0",0.269961844159863,434.517239921981,1.18263456651842,"20140311_W"
"M2-D-06-T0",0.273219779421074,487.344925227289,1.16494916513312,"20140311_W"
"M2-E-06-T0",0.277150128717932,524.875101334088,1.15002505318344,"20140311_W"
"M2-A-06-T0",0.226820235678079,597.109753301923,1.27116019092479,"20140311_W"
"M2-B-06-T0",0.255055674608571,448.444929965819,1.31287538489868,"20140311_W"
"M2-C-06-T0",0.275769597246515,935.767556321434,1.24966158031886,"20140311_W"
"F1-D-06-T0",0.255460313143297,594.879314783059,1.18020200201561,"20140311_W"
"F1-E-06-T0",0.259554303024051,778.786269613715,1.21958324896653,"20140311_W"
"F1-A-06-T0",0.265064527776345,890.153842740115,1.20623701669435,"20140311_W"
"F1-B-06-T0",0.271407831864839,678.511804313275,1.27240934566948,"20140311_W"
"F1-C-06-T0",0.282969782937957,688.670540314976,1.2755322325312,"20140311_W"
"F2-D-05-T0",0.261895851015441,489.033890729516,1.16107021092593,"20140311_W"
"F2-E-05-T0",0.256635550064007,430.522531706524,1.18907757520154,"20140311_W"
"F2-A-05-T0",0.281279821998809,499.192785140997,1.38986276416333,"20140311_W"
"F2-B-05-T0",0.273538134738836,523.62720325601,1.20814362130466,"20140311_W"
"F2-C-05-T0",0.270806824629438,503.775583255318,1.13161645694594,"20140311_W"
"time zero mean",0.266539727354148,541.882753579006,1.20113879182728,"20140311_W"
"time zero sd",0.0123429566671983,161.259482248745,0.0733032697619151,"20140311_W"
"time zero CV",0.0463081312107681,0.297591095460531,0.0610281428430096,"20140311_W"
"time zero sd allow",2,2,2,"20140311_W"
"time zero upper limit",0.291225640688545,864.401718076496,1.34774533135111,"20140311_W"
"time zero lower limit",0.241853814019752,219.363789081516,1.05453225230345,"20140311_W"
