"N2Oraw","CO2raw","CH4raw","SampleName","Site","LUtype","Chamber","TimePt","TimePtSq","SampleDate","Pressure","N2Oc","CO2c","CH4c","N2Oppm","CO2ppm","CH4ppm","ngN_cm3_N2O","ngC_cm3_CO2","ngC_cm3_CH4","GCrun"
11.876,59.06,9.1474,"Mix1","NA","NA","NA","NA","NA","NA","Y",11.4356375,58.271,6.034075,0.301,600,0.718767694492977,0.338806156028369,0.28944047501237,0.000346734104862655,"20131107_Y"
38.7156,51.6624,16.1292,"Mix2","NA","NA","NA","NA","NA","NA","Y",58.4049375,45.3252,18.252225,1.57,466.700760240943,1.79297369629469,1.76719490021442,0.225136816221288,0.000864931930567032,"20131107_Y"
64.5302,26.073,6.4966,"3N2O","NA","NA","NA","NA","NA","NA","Y",103.5804875,0.543749999999998,1.395175,2.96372168978528,5.59883990321092,0.310920825551447,3.33597060881745,0.0027008848018393,0.000149988452398082,"20131107_Y"
181.1656,25.4524,6.3994,"10N2O","NA","NA","NA","NA","NA","NA","Y",307.6924375,-0.542300000000002,1.225075,8.93926306330373,-5.5839096634689,0.2959658249248,10.0620510172901,-0.00269368244236767,0.000142774148256103,"20131107_Y"
5.6932,206.752,6.1264,"3KCO2","NA","NA","NA","NA","NA","NA","Y",0.615737499999999,316.732,0.747325,0.00867175367740228,3005.203276861,0.253962582424031,0.00976094195835727,1.44971243993896,0.000122511750820299,"20131107_Y"
12.3404,58.3176,13.5404,"amb","NA","NA","NA","NA","NA","NA","Y",12.2483375,56.9718,13.721825,0.32295724228379,586.622505191262,1.39466602528373,0.363521268503965,0.282987160925842,0.000672787994736231,"20131107_Y"
12.0608,60.0192,12.8068,"amb","NA","NA","NA","NA","NA","NA","Y",11.7590375,59.9496,12.438025,0.309737507265384,587.522098959503,1.28179577364064,0.348641110346823,0.283421125671839,0.00061833929598566,"20131107_Y"
12.6902,60.1608,13.3816,"amb","NA","NA","NA","NA","NA","NA","Y",12.8604875,60.1974,13.443925,0.339496095321838,589.855208221992,1.37023336993896,0.382137432035325,0.284546619427156,0.000661001662454891,"20131107_Y"
12.7612,61.9504,13.4652,"amb","NA","NA","NA","NA","NA","NA","Y",12.9847375,63.3292,13.590225,0.342853038048257,619.342018505531,1.38309590134213,0.385916012969363,0.298771080052268,0.000667206557786881,"20131107_Y"
19.108,102.6708,16.0926,"travel","NA","NA","NA","NA","NA","NA","N",24.0916375,134.5899,18.188175,0.642935349260049,1290.28228977835,1.78734249235502,0.723689216802505,0.622433198089156,0.000862215433328386,"20131107_Y"
9.2944,40.6848,11.8944,"F2-A-17-T0","F2","F","A","0","0","2013.07.17","Y",6.9178375,26.1144,10.841325,0.17893967123206,268.892588079834,1.14141570603002,0.201414824488752,0.129713997368555,0.000550619840233179,"20131107_Y"
9.2652,50.117,12.393,"F2-A-17-T10","F2","F","A","10","100","2013.07.17","Y",6.8667375,42.62075,11.713875,0.177559069434716,438.853803778895,1.2181293203556,0.199860816555317,0.211703422377915,0.000587626548517032,"20131107_Y"
9.64,44.0946,11.8496,"F2-A-17-T20","F2","F","A","20","400","2013.07.17","Y",7.5226375,32.08155,10.762925,0.195279944559532,330.33464330456,1.13452286623502,0.219807466331056,0.159353693451856,0.000547294728859099,"20131107_Y"
9.6876,67.6012,13.2264,"F2-A-17-T30","F2","F","A","30","900","2013.07.17","Y",7.6059375,73.2181,13.172325,0.197530514612737,712.448895768732,1.34635460350629,0.222340712140355,0.343685911355567,0.000649482526623254,"20131107_Y"
9.4216,61.054,12.239,"F2-B-17-T0","F2","F","B","0","0","2013.07.17","Y",7.1404375,61.7605,11.444375,0.184953799609532,604.572250547236,1.19443518356029,0.208184338500156,0.291646132296149,0.00057619647816863,"20131107_Y"
8.889,51.1016,11.9772,"F2-B-17-T10","F2","F","B","10","100","2013.07.17","Y",6.2083875,44.3438,10.986225,0.159772001073042,456.595562114946,1.15415515100827,0.179839659549892,0.22026206064515,0.000556765358576346,"20131107_Y"
9.15,44.1852,11.5428,"F2-B-17-T20","F2","F","B","20","400","2013.07.17","Y",6.6651375,32.2401,10.226025,0.172112311658892,331.967187794958,1.08731922228177,0.193729935941216,0.160141234206489,0.000524523653645529,"20131107_Y"
9.6888,60.836,11.0718,"F2-B-17-T30","F2","F","B","30","900","2013.07.17","Y",7.6080375,61.379,9.401775,0.197587251672902,600.980316795665,1.01485208961561,0.222404575480085,0.289913380610703,0.000489565451476065,"20131107_Y"
9.4908,52.516,10.7164,"F2-C-17-T0","F2","F","C","0","0","2013.07.17","Y",7.2615375,46.819,8.779825,0.188225636745704,482.081996190215,0.960170945349043,0.211867124424599,0.232556736620346,0.000463187224191506,"20131107_Y"
9.8532,49.9478,11.8008,"F2-C-17-T10","F2","F","C","10","100","2013.07.17","Y",7.8957375,42.32465,10.677525,0.205360228915483,435.804945856429,1.12701459431547,0.231153853023126,0.210232650902375,0.000543672732540904,"20131107_Y"
