"N2Oraw","CO2raw","CH4raw","SampleName","Site","LUtype","Chamber","TimePt","TimePtSq","SampleDate","Pressure","N2Oc","CO2c","CH4c","N2Oppm","CO2ppm","CH4ppm","ngN_cm3_N2O","ngC_cm3_CO2","ngC_cm3_CH4","GCrun"
9.5048,72.6416,8.878,"Mix1","NA","NA","NA","NA","NA","NA","Y",9.1602125,71.221025,6.38815,0.301,600,0.720282354276829,0.338806156028369,0.28944047501237,0.000347464777941523,"20140417_K"
30.9376,57.1844,16.2176,"Mix2","NA","NA","NA","NA","NA","NA","Y",46.6676125,44.170925,19.23245,1.57,372.117011795323,1.79290955018869,1.76719490021442,0.17950954109037,0.000864900986434715,"20140417_K"
53.0648,31.342,6.0912,"3N2O","NA","NA","NA","NA","NA","NA","Y",85.3902125,-1.05327499999999,1.51125,2.98065264581401,-8.87329268288393,0.313012548079329,3.35502812419944,-0.00428048341509619,0.000150997501001522,"20140417_K"
152.4422,32.4656,6.2212,"10N2O","NA","NA","NA","NA","NA","NA","Y",259.3006625,0.913025000000005,1.73875,9.13955750600522,7.69175956116899,0.332011067817263,10.2875028119929,0.00371051090177615,0.000160162401963988,"20140417_K"
4.2624,206.309,6.2022,"3KCO2","NA","NA","NA","NA","NA","NA","Y",-0.0139874999999989,305.138975,1.7055,-0.00939367698107578,2985.75592410148,0.329234361086335,-0.0105735401625597,1.44033102157155,0.000158822916438705,"20140417_K"
10.047,74.0136,12.5402,"amb","NA","NA","NA","NA","NA","NA","Y",10.1090625,73.622025,12.797,0.333102749057519,684.888914597394,1.25548526954039,0.374941069669968,0.330390954619627,0.000605647087978006,"20140417_K"
9.6962,66.4496,12.048,"amb","NA","NA","NA","NA","NA","NA","Y",9.4951625,60.385025,11.93565,0.312332471725579,508.712350039893,1.18355395096338,0.35156200713682,0.245403240400343,0.000570947362949346,"20140417_K"
9.944,83.5576,11.861,"amb","NA","NA","NA","NA","NA","NA","Y",9.9288125,90.324025,11.6084,0.327004292486283,850.877110246729,1.15622531103266,0.368076635687887,0.41046379161161,0.00055776400541103,"20140417_K"
10.1698,74.122,12.342,"amb","NA","NA","NA","NA","NA","NA","Y",10.3239625,73.811725,12.45015,0.340373530290023,686.774195444878,1.22651983406301,0.383125074456373,0.331300415593006,0.000591674138972154,"20140417_K"
5.3608,63.8538,7.0224,"trav_dummy","NA","NA","NA","NA","NA","NA","Y",1.9082125,55.842375,3.14085,0.0556407375611212,470.442892390274,0.449100406386747,0.0626293169822816,0.226942023732724,0.000216646391588048,"20140417_K"
9.5464,51.292,12.3476,"M1-A-13-T0","M1","M","A","0","0","2014.03.13","Y",9.2330125,33.859225,12.45995,0.303463065954985,285.246315957963,1.22733823183634,0.341578587617248,0.137603048644003,0.000592068934705921,"20140417_K"
10.284,77.4844,12.3296,"M1-A-13-T15","M1","M","A","15","225","2014.03.13","Y",10.5238125,79.695925,12.42845,0.347135120002986,745.252685496358,1.22470766756493,0.390735932327768,0.359510485490517,0.000590799948418811,"20140417_K"
10.3766,77.0964,12.7904,"M1-A-13-T30","M1","M","A","30","900","2014.03.13","Y",10.6858625,79.016925,13.23485,0.352617810085476,738.504632278426,1.29205011291294,0.39690725841263,0.356255219275839,0.000623285997368844,"20140417_K"
10.1752,81.0316,12.0256,"M1-A-13-T45","M1","M","A","45","2025","2014.03.13","Y",10.3334125,85.903525,11.89645,0.340693255197641,806.945196771223,1.18028035987007,0.383484957403006,0.389271001770689,0.000569368180014275,"20140417_K"
10.6,56.5216,12.3204,"M1-B-13-T0","M1","M","B","0","0","2014.03.13","Y",11.0768125,43.011025,12.41235,0.365844947930275,362.345459083185,1.22336315693733,0.411795749204835,0.174795736326021,0.000590151355427621,"20140417_K"
11.244,90.8616,12.0272,"M1-B-13-T15","M1","M","B","15","225","2014.03.13","Y",12.2038125,103.106025,11.89925,0.40397510357956,977.907472885322,1.18051418780531,0.454715122840375,0.47174333911679,0.000569480978795352,"20140417_K"
11.7252,118.1292,12.0584,"M1-B-13-T30","M1","M","B","30","900","2014.03.13","Y",13.0459125,150.824325,11.95385,0.432466145347318,1452.14256547625,1.18507383254241,0.48678469208482,0.700514723228545,0.000571680555026343,"20140417_K"
11.4882,144.7836,11.8708,"M1-B-13-T45","M1","M","B","45","2025","2014.03.13","Y",12.6311625,197.469525,11.62555,0.418433774401851,1915.71295128048,1.15765750713598,0.47098982942702,0.924141444343288,0.000558454897945123,"20140417_K"
10.3596,48.0788,11.208,"M1-C-13-T0","M1","M","C","0","0","2014.03.13","Y",10.6561125,28.236125,10.46565,0.351611268709641,237.87463041988,1.06079428496442,0.395774293580636,0.11475091003687,0.000511728002884182,"20140417_K"
9.752,89.7742,11.4426,"M1-C-13-T15","M1","M","C","15","225","2014.03.13","Y",9.5928125,101.203075,10.8762,0.315636295770968,958.995531985376,1.09507930596841,0.355280797585365,0.462620203854313,0.000528267124159524,"20140417_K"
12.2492,138.6798,11.1732,"M1-C-13-T30","M1","M","C","30","900","2014.03.13","Y",13.9629125,186.787875,10.40475,0.463491303049532,1809.55633470416,1.05570852737303,0.521706666906284,0.872931408464027,0.000509274629395768,"20140417_K"
10.8216,135.2764,12.1196,"M1-C-13-T45","M1","M","C","45","2025","2014.03.13","Y",11.4646125,180.831925,12.06095,0.378965510805868,1750.36477717347,1.19401775106519,0.426564279014828,0.844377354250017,0.00057599510840252,"20140417_K"
10.325,47.8344,11.3316,"M1-D-13-T0","M1","M","D","0","0","2014.03.13","Y",10.5955625,27.808425,10.68195,0.349562660968236,234.27148092856,1.07885749296141,0.393468376922577,0.11301274786969,0.000520441708722342,"20140417_K"
11.4204,94.3276,11.4414,"M1-D-13-T15","M1","M","D","15","225","2014.03.13","Y",12.5125125,109.171525,10.8741,0.414419450561756,1038.18776271355,1.09490393501699,0.466471299097067,0.500822598653066,0.000528182525073717,"20140417_K"
10.8188,117.4076,12.6138,"M1-D-13-T30","M1","M","D","30","900","2014.03.13","Y",11.4597125,149.561525,12.9258,0.378799727520436,1439.59257784207,1.26624135456125,0.4263776730425,0.694460599258154,0.000610835831907525,"20140417_K"
14.9774,205.6904,12.2528,"M1-D-13-T45","M1","M","D","45","2025","2014.03.13","Y",18.7372625,304.056425,12.29405,0.625023431376209,2974.99730111021,1.2134839266736,0.7035275289443,1.4351410533231,0.000585385606927139,"20140417_K"
10.7032,46.8068,11.3992,"M1-E-13-T0","M1","M","E","0","0","2014.03.13","Y",11.2574125,26.010125,10.80025,0.371955246164757,219.121741086989,1.08873672322513,0.41867351218494,0.10570450137626,0.000525207457222824,"20140417_K"
10.5562,91.8658,12.3836,"M1-E-13-T15","M1","M","E","15","225","2014.03.13","Y",11.0001625,104.863375,12.52295,0.363251623679594,995.372408559155,1.23259936037915,0.408876698637697,0.480168437912615,0.000594606907280143,"20140417_K"
11.284,116.789,12.08,"M1-E-13-T30","M1","M","E","30","900","2014.03.13","Y",12.2738125,148.478975,11.99165,0.406343436228584,1428.8339548508,1.1882305096681,0.457380922445067,0.6892706310097,0.000573203338570876,"20140417_K"
11.6104,153.6848,12.3276,"M1-E-13-T45","M1","M","E","45","2025","2014.03.13","Y",12.8450125,213.046625,12.42495,0.425669030644619,2070.52164020692,1.22441538264589,0.479133847219354,0.998821278441469,0.000590658949942465,"20140417_K"
10.5156,54.8214,12.5544,"SM-A-13-T0","SM","S","A","0","0","2014.03.13","Y",10.9291125,40.035675,12.82185,0.360847766040835,337.279686721723,1.25756049246561,0.406170912038935,0.162703987894598,0.00060664817716006,"20140417_K"
11.4984,180.6688,12.655,"SM-A-13-T15","SM","S","A","15","225","2014.03.13","Y",12.6490125,260.268625,12.9979,0.419037699227352,2539.82439286845,1.27226242389358,0.471669608326216,1.22521329786641,0.000613740400520245,"20140417_K"
11.118,275.1872,12.1642,"SM-A-13-T30","SM","S","A","30","900","2014.03.13","Y",11.9833125,425.675825,12.139,0.396514855735135,4183.67798378023,1.2005357047599,0.446317854085596,2.01820957154024,0.000579139374425027,"20140417_K"
11.2106,379.4758,12.0104,"SM-A-13-T45","SM","S","A","45","2025","2014.03.13","Y",12.1453625,608.180875,11.86985,0.401997545817625,5997.45381579985,1.17805899448533,0.452489180170457,2.89317646884977,0.000568296591594048,"20140417_K"
10.741,66.7072,12.4828,"SM-B-13-T0","SM","S","B","0","0","2014.03.13","Y",11.3235625,60.835825,12.69655,0.374193320518084,512.510104986554,1.24709669236379,0.421192692811374,0.247235280393247,0.000601600431706886,"20140417_K"
10.4256,103.754,11.7012,"SM-B-13-T15","SM","S","B","15","225","2014.03.13","Y",10.7716125,125.667725,11.32875,0.355519017580531,1202.13067212982,1.13287174600095,0.400172862928378,0.579908787946992,0.000546498227151014,"20140417_K"
11.554,163.1078,11.886,"SM-B-13-T30","SM","S","B","30","900","2014.03.13","Y",12.7463125,229.536875,11.65215,0.422329681609496,2234.40541719808,1.15987887252072,0.475375069776738,1.07787894220671,0.00055952648636535,"20140417_K"
12.6044,209.6744,12.0544,"SM-B-13-T45","SM","S","B","45","2025","2014.03.13","Y",14.5845125,311.028425,11.94685,0.484522096972864,3044.28658982217,1.18448926270432,0.545378967395949,1.4685662610532,0.000571398558073652,"20140417_K"
10.7624,64.7902,12.2604,"SM-C-13-T0","SM","S","C","0","0","2014.03.13","Y",11.3610125,57.481075,12.30735,0.375460378485312,484.248085449486,1.21459460936597,0.422618895599884,0.233601659793884,0.000585921401137252,"20140417_K"
10.5836,173.1608,11.8226,"SM-C-13-T15","SM","S","C","15","225","2014.03.13","Y",11.0481125,247.129625,11.5412,0.364873931544175,2409.24608472352,1.15061344058699,0.410702771366911,1.16222221864011,0.000555056834665194,"20140417_K"
10.7202,293.8528,11.4708,"SM-C-13-T30","SM","S","C","30","900","2014.03.13","Y",11.2871625,458.340625,10.92555,0.372961787540592,4508.30804085402,1.09920052332695,0.419806477016934,2.17481136807812,0.000530255202675997,"20140417_K"
10.9124,411.148,11.3318,"SM-C-13-T45","SM","S","C","45","2025","2014.03.13","Y",11.6235125,663.607225,10.6823,0.384341625919152,6548.29322592609,1.07888672145331,0.432615644117479,3.15890183638722,0.000520455808569976,"20140417_K"
10.5064,59.45,12.3702,"SM-D-13-T0","SM","S","D","0","0","2014.03.13","Y",10.9130125,48.135725,12.4995,0.360303049531559,405.518384493905,1.23064105142155,0.405557778129855,0.195622389723608,0.000593662217488627,"20140417_K"
11.1166,132.312,12.0624,"SM-D-13-T15","SM","S","D","15","225","2014.03.13","Y",11.9808625,175.644225,11.96085,0.396431964092419,1698.80825923729,1.1856584023805,0.446224551099431,0.819506449180965,0.000571962551979035,"20140417_K"
11.914,209.7316,11.9928,"SM-D-13-T30","SM","S","D","30","900","2014.03.13","Y",13.3763125,311.128525,11.83905,0.443644675450711,3045.28140591512,1.17548688719773,0.499367266218966,1.46904616112402,0.000567055805002207,"20140417_K"
11.4528,751.5032,11.8578,"SM-D-13-T45","SM","S","D","45","2025","2014.03.13","Y",12.5692125,1259.228825,11.6028,0.416337800007465,12467.7133357195,1.15575765516219,0.468630596776867,6.0144347836812,0.000557538407848877,"20140417_K"
10.9888,55.6344,12.6756,"SM-E-13-T0","SM","S","E","0","0","2014.03.13","Y",11.7572125,41.458425,13.03395,0.388865141278788,349.265613630245,1.27527295855974,0.437707321362441,0.168486008524375,0.000615192684826605,"20140417_K"
11.4132,106.86,12.2344,"SM-E-13-T15","SM","S","E","15","225","2014.03.13","Y",12.4999125,131.103225,12.26185,0.413993150684931,1256.14988165275,1.21079490541839,0.465991455168222,0.605967697387173,0.000584088420944759,"20140417_K"
12.6184,149.7812,12.0278,"SM-E-13-T30","SM","S","E","30","900","2014.03.13","Y",14.6090125,206.215325,11.9003,0.485351013400022,2002.63065942981,1.18060187328102,0.546311997257591,0.966070615566165,0.000569523278338255,"20140417_K"
13.5208,202.8876,12.2514,"SM-E-13-T45","SM","S","E","45","2025","2014.03.13","Y",16.1882125,299.151525,12.2916,0.538780597962002,2926.25131255552,1.21327932723027,0.606452436339442,1.41162594985274,0.000585286907993697,"20140417_K"
10.9026,53.3244,12.1088,"M2-A-18-T0","M2","M","A","0","0","2014.03.18","Y",11.6063625,37.415925,12.04205,0.383761384420141,315.209658945515,1.19243941250235,0.431962523214329,0.152057389022795,0.000575233716630253,"20140417_K"
10.6676,126.7332,12.892,"M2-A-18-T15","M2","M","A","15","225","2014.03.18","Y",11.1951125,165.881325,13.41265,0.369847430107126,1601.78238477286,1.30689818680043,0.416300950536764,0.772701090525174,0.000630448719967202,"20140417_K"
10.8794,198.9908,12.5366,"M2-A-18-T30","M2","M","A","30","900","2014.03.18","Y",11.5657625,292.332125,12.7907,0.382387751483707,2858.47859662862,1.25495915668611,0.430416359443608,1.3789323380348,0.000605393290720584,"20140417_K"
