"N2Oraw","CO2raw","CH4raw","SampleName","Site","LUtype","Chamber","TimePt","TimePtSq","SampleDate","Pressure","N2Oc","CO2c","CH4c","N2Oppm","CO2ppm","CH4ppm","ngN_cm3_N2O","ngC_cm3_CO2","ngC_cm3_CH4","GCrun"
19.0008,66.036,9.4244,"Mix1Leak","NA","NA","NA","NA","NA","2014.06.05","Y",15.8634,59.0684625,7.8956375,0.198862204615342,578.77365713513,0.903416232387634,0.223839664867279,0.279200870409731,0.000435808705726938,"20140905_Leak12"
17.392,66.4578,8.3776,"Mix1Leak","NA","NA","NA","NA","NA","2014.06.05","Y",13.048,59.8066125,6.0637375,0.151730697841926,585.308500725634,0.743274738985619,0.170788353778488,0.282353284131343,0.000358556322527822,"20140905_Leak12"
18.837,66.8144,8.684,"Mix1Leak","NA","NA","NA","NA","NA","2014.06.05","Y",15.57675,60.4306625,6.5999375,0.194063509432917,590.833216762556,0.790148404994768,0.218438244705454,0.285018411521401,0.000381168216119921,"20140905_Leak12"
47.9108,61.832,15.3434,"Mix2Leak","NA","NA","NA","NA","NA","2014.06.05","Y",66.4559,51.7114625,18.2538875,1.04581139706901,575.182004427382,1.80891632738813,1.17716724043724,0.277468254300048,0.000872622668428089,"20140905_Leak12"
46.2726,57.6196,15.0834,"Mix2Leak","NA","NA","NA","NA","NA","2014.06.05","Y",63.58905,44.3397625,17.7988875,0.99781858603208,493.187240074366,1.76914102333337,1.12314644367838,0.237913915061941,0.00085343503026247,"20140905_Leak12"
46.5132,48.6712,14.5492,"Mix2Leak","NA","NA","NA","NA","NA","2014.06.05","Y",64.0101,28.6800625,16.8640375,1.00486721888246,319.005787853179,1.68741807169471,1.13108039783549,0.153888644613199,0.000814011813692956,"20140905_Leak12"
71.4616,41.3852,5.9596,"3N2OLeak","NA","NA","NA","NA","NA","2014.06.05","Y",107.6698,15.9295625,1.8322375,1.71661494071405,177.183108839771,0.373364411276342,1.93222494831958,0.0854732719779198,0.000180111287587564,"20140905_Leak12"
70.9356,43.1988,5.8582,"3N2OLeak","NA","NA","NA","NA","NA","2014.06.05","Y",106.7493,19.1033625,1.6547875,1.6995143899535,212.485004346046,0.357852042694986,1.91297653679417,0.102502934318208,0.000172628108702973,"20140905_Leak12"
66.981,40.3618,5.4832,"3N2OLeak","NA","NA","NA","NA","NA","2014.06.05","Y",99.82875,14.1386125,0.9985375,1.57094815794273,157.26253106015,0.300483815692927,1.76826214854625,0.0758635694861625,0.000144953630579484,"20140905_Leak12"
191.7812,41.9142,5.5776,"10N2OLeak","NA","NA","NA","NA","NA","2014.06.05","Y",318.2291,16.8553125,1.1637375,5.6282716465867,187.480143865587,0.314925310703578,6.3351929623372,0.0904405698264051,0.00015192021920577,"20140905_Leak12"
191.071,39.998,6.5212,"10N2OLeak","NA","NA","NA","NA","NA","2014.06.05","Y",316.98625,13.5019625,2.8150375,5.60518265200468,150.181129656763,0.459279068034626,6.30920394738406,0.0724474958429131,0.000221556586025301,"20140905_Leak12"
194.9272,42.4832,6.1676,"10N2OLeak","NA","NA","NA","NA","NA","2014.06.05","Y",323.7346,17.8510625,2.1962375,5.73054984562223,198.555782674073,0.405184654520151,6.45031749210708,0.095783466756061,0.000195461398120059,"20140905_Leak12"
0,163.966,5.9832,"3KCO2Leak","NA","NA","NA","NA","NA","2014.06.05","Y",-17.388,230.4459625,1.8735375,-0.357786436545974,2095.97904551366,0.376974785029005,-0.402725073904416,1.01110195091575,0.000181852934744136,"20140905_Leak12"
0,150.3116,5.7676,"3KCO2Leak","NA","NA","NA","NA","NA","2014.06.05","Y",-17.388,206.5507625,1.4962375,-0.357786436545974,1884.43478680769,0.343991879051288,-0.402725073904416,0.909052833039086,0.000165941954788338,"20140905_Leak12"
0,154.1344,6.1828,"3KCO2Leak","NA","NA","NA","NA","NA","2014.06.05","Y",-17.388,213.2406625,2.2228375,-0.357786436545974,1943.66048637568,0.407509979987968,-0.402725073904416,0.937623357398919,0.000196583136966665,"20140905_Leak12"
23.316,75.2464,11.7148,"amb","NA","NA","NA","NA","NA","2014.06.05","Y",23.415,75.1866625,11.9038375,0.325280577333296,721.46811755708,1.25380606472234,0.366136418727517,0.34803679108667,0.000604837038244376,"20140905_Leak12"
22.9436,78.3718,11.9248,"amb","NA","NA","NA","NA","NA","2014.06.05","Y",22.7633,80.6561125,12.2713375,0.314370723328808,769.889170562678,1.2859322718435,0.353856266906616,0.371395145390902,0.00062033474599353,"20140905_Leak12"
