GCRun	RunOrder	Pressure	SampleDate	SampleName	Site	LUtype	Chamber	TimePt	TimePtSq
20131104_AA	1	Y	NA	Mix1	NA	NA	NA	NA	NA
20131104_AA	2	Y	NA	Mix2	NA	NA	NA	NA	NA
20131104_AA	3	Y	NA	3N2O	NA	NA	NA	NA	NA
20131104_AA	4	Y	NA	10N2O	NA	NA	NA	NA	NA
20131104_AA	5	Y	NA	3KCO2	NA	NA	NA	NA	NA
20131104_AA	6	Y	NA	amb	NA	NA	NA	NA	NA
20131104_AA	7	Y	NA	amb	NA	NA	NA	NA	NA
20131104_AA	8	Y	NA	amb	NA	NA	NA	NA	NA
20131104_AA	9	Y	NA	amb	NA	NA	NA	NA	NA
20131104_AA	10	Y	NA	travel	NA	NA	NA	NA	NA
20131104_AA	11	Y	2013.07.24	F1-A-24-T0	F1	F	A	0	0
20131104_AA	12	Y	2013.07.24	F1-A-24-T10	F1	F	A	10	100
20131104_AA	13	Y	2013.07.24	F1-A-24-T20	F1	F	A	20	400
20131104_AA	14	Y	2013.07.24	F1-A-24-T30	F1	F	A	30	900
20131104_AA	15	Y	2013.07.24	F1-B-24-T0	F1	F	B	0	0
20131104_AA	16	Y	2013.07.24	F1-B-24-T10	F1	F	B	10	100
20131104_AA	17	Y	2013.07.24	F1-B-24-T20	F1	F	B	20	400
20131104_AA	18	Y	2013.07.24	F1-B-24-T30	F1	F	B	30	900
20131104_AA	19	Y	2013.07.24	F1-C-24-T0	F1	F	C	0	0
20131104_AA	20	N	2013.07.24	F1-C-24-T10	F1	F	C	10	100
20131104_AA	21	Y	2013.07.24	F1-C-24-T20	F1	F	C	20	400
20131104_AA	22	Y	2013.07.24	F1-C-24-T30	F1	F	C	30	900
20131104_AA	23	Y	2013.07.24	F1-D-24-T0	F1	F	D	0	0
20131104_AA	24	Y	2013.07.24	F1-D-24-T10	F1	F	D	10	100
20131104_AA	25	Y	2013.07.24	F1-D-24-T20	F1	F	D	20	400
20131104_AA	26	Y	2013.07.24	F1-D-24-T30	F1	F	D	30	900
20131104_AA	27	Y	2013.07.24	F1-E-24-T0	F1	F	E	0	0
20131104_AA	28	Y	2013.07.24	F1-E-24-T10	F1	F	E	10	100
20131104_AA	29	Y	2013.07.24	F1-E-24-T20	F1	F	E	20	400
20131104_AA	30	Y	2013.07.24	F1-E-24-T30	F1	F	E	30	900
20131104_AA	31	Y	2013.07.23	M2-A-23-T0	M2	M	A	0	0
20131104_AA	32	Y	2013.07.23	M2-A-23-T10	M2	M	A	10	100
20131104_AA	33	Y	2013.07.23	M2-A-23-T20	M2	M	A	20	400
20131104_AA	34	Y	2013.07.23	M2-A-23-T30	M2	M	A	30	900
20131104_AA	35	Y	2013.07.23	M2-B-23-T0	M2	M	B	0	0
20131104_AA	36	Y	2013.07.23	M2-B-23-T10	M2	M	B	10	100
20131104_AA	37	Y	2013.07.23	M2-B-23-T20	M2	M	B	20	400
20131104_AA	38	Y	2013.07.23	M2-B-23-T30	M2	M	B	30	900
20131104_AA	39	Y	2013.07.23	M2-C-23-T0	M2	M	C	0	0
20131104_AA	40	Y	2013.07.23	M2-C-23-T10	M2	M	C	10	100
20131104_AA	41	Y	2013.07.23	M2-C-23-T20	M2	M	C	20	400
20131104_AA	42	Y	2013.07.23	M2-C-23-T30	M2	M	C	30	900
20131104_AA	43	Y	2013.07.23	M2-D-23-T0	M2	M	D	0	0
20131104_AA	44	Y	2013.07.23	M2-D-23-T10	M2	M	D	10	100
20131104_AA	45	Y	2013.07.23	M2-D-23-T20	M2	M	D	20	400
20131104_AA	46	N	2013.07.23	M2-D-23-T30	M2	M	D	30	900
20131104_AA	47	Y	2013.07.23	M2-E-23-T0	M2	M	E	0	0
20131104_AA	48	Y	2013.07.23	M2-E-23-T10	M2	M	E	10	100
20131104_AA	49	Y	2013.07.23	M2-E-23-T20	M2	M	E	20	400
20131104_AA	50	Y	2013.07.23	M2-E-23-T30	M2	M	E	30	900
20131104_AA	51	Y	2013.07.23	S3-A-23-T0	S3	S	A	0	0
20131104_AA	52	Y	2013.07.23	S3-A-23-T10	S3	S	A	10	100
20131104_AA	53	Y	2013.07.23	S3-A-23-T20	S3	S	A	20	400
20131104_AA	54	Y	2013.07.23	S3-A-23-T30	S3	S	A	30	900
20131104_AA	55	Y	2013.07.23	S3-B-23-T0	S3	S	B	0	0
20131104_AA	56	Y	2013.07.23	S3-B-23-T10	S3	S	B	10	100
20131104_AA	57	Y	2013.07.23	S3-B-23-T20	S3	S	B	20	400
20131104_AA	58	Y	2013.07.23	S3-B-23-T30	S3	S	B	30	900
20131104_AA	59	Y	2013.07.23	S3-C-23-T0	S3	S	C	0	0
20131104_AA	60	Y	2013.07.23	S3-C-23-T10	S3	S	C	10	100
20131104_AA	61	Y	2013.07.23	S3-C-23-T20	S3	S	C	20	400
20131104_AA	62	Y	2013.07.23	S3-C-23-T30	S3	S	C	30	900
20131104_AA	63	Y	2013.07.23	S3-D-23-T0	S3	S	D	0	0
20131104_AA	64	Y	2013.07.23	S3-D-23-T10	S3	S	D	10	100
20131104_AA	65	Y	2013.07.23	S3-D-23-T20	S3	S	D	20	400
20131104_AA	66	Y	2013.07.23	S3-D-23-T30	S3	S	D	30	900
20131104_AA	67	Y	2013.07.23	S3-E-23-T0	S3	S	E	0	0
20131104_AA	68	Y	2013.07.23	S3-E-23-T10	S3	S	E	10	100
20131104_AA	69	Y	2013.07.23	S3-E-23-T20	S3	S	E	20	400
20131104_AA	70	Y	2013.07.23	S3-E-23-T30	S3	S	E	30	900
20131104_AA	71	Y	2013.07.23	F3-A-23-T0	F3	F	A	0	0
20131104_AA	72	Y	2013.07.23	F3-A-23-T10	F3	F	A	10	100
20131104_AA	73	Y	2013.07.23	F3-A-23-T20	F3	F	A	20	400
20131104_AA	74	Y	2013.07.23	F3-A-23-T30	F3	F	A	30	900
20131104_AA	75	Y	2013.07.23	F3-B-23-T0	F3	F	B	0	0
20131104_AA	76	Y	2013.07.23	F3-B-23-T10	F3	F	B	10	100
20131104_AA	77	Y	2013.07.23	F3-B-23-T20	F3	F	B	20	400
20131104_AA	78	Y	2013.07.23	F3-B-23-T30	F3	F	B	30	900
20131104_AA	79	Y	2013.07.23	F3-C-23-T0	F3	F	C	0	0
20131104_AA	80	Y	2013.07.23	F3-C-23-T10	F3	F	C	10	100
20131104_AA	81	Y	2013.07.23	F3-C-23-T20	F3	F	C	20	400
20131104_AA	82	Y	2013.07.23	F3-C-23-T30	F3	F	C	30	900
20131104_AA	83	Y	2013.07.23	F3-D-23-T0	F3	F	D	0	0
20131104_AA	84	Y	2013.07.23	F3-D-23-T10	F3	F	D	10	100
20131104_AA	85	Y	2013.07.23	F3-D-23-T20	F3	F	D	20	400
20131104_AA	86	Y	2013.07.23	F3-D-23-T30	F3	F	D	30	900
20131104_AA	87	Y	2013.07.23	F3-E-23-T0	F3	F	E	0	0
20131104_AA	88	Y	2013.07.23	F3-E-23-T10	F3	F	E	10	100
20131104_AA	89	Y	2013.07.23	F3-E-23-T20	F3	F	E	20	400
20131104_AA	90	Y	2013.07.23	F3-E-23-T30	F3	F	E	30	900
20131104_AA	91	Y	2013.07.24	M3-A-24-T0	M3	M	A	0	0
20131104_AA	92	Y	2013.07.24	M3-A-24-T10	M3	M	A	10	100
20131104_AA	93	Y	2013.07.24	M3-A-24-T20	M3	M	A	20	400
20131104_AA	94	Y	2013.07.24	M3-A-24-T30	M3	M	A	30	900
20131104_AA	95	Y	2013.07.24	M3-B-24-T0	M3	M	B	0	0
20131104_AA	96	Y	2013.07.24	M3-B-24-T10	M3	M	B	10	100
20131104_AA	97	Y	2013.07.24	M3-B-24-T20	M3	M	B	20	400
