GCRun	RunOrder	Pressure	SampleDate	SampleName	Site	LUtype	Chamber	TimePt	TimePtSq
20131105_BB	1	Y	NA	Mix1	NA	NA	NA	NA	NA
20131105_BB	2	Y	NA	Mix2	NA	NA	NA	NA	NA
20131105_BB	3	Y	NA	3N2O	NA	NA	NA	NA	NA
20131105_BB	4	Y	NA	10N2O	NA	NA	NA	NA	NA
20131105_BB	5	Y	NA	3KCO2	NA	NA	NA	NA	NA
20131105_BB	6	Y	NA	amb	NA	NA	NA	NA	NA
20131105_BB	7	Y	NA	amb	NA	NA	NA	NA	NA
20131105_BB	8	Y	NA	amb	NA	NA	NA	NA	NA
20131105_BB	9	Y	NA	amb	NA	NA	NA	NA	NA
20131105_BB	10	Y	NA	travel	NA	NA	NA	NA	NA
20131105_BB	11	Y	2013.07.19	S1-A1-19-T0	S1	S	A1	0	0
20131105_BB	12	Y	2013.07.19	S1-A1-19-T10	S1	S	A1	10	100
20131105_BB	13	Y	2013.07.19	S1-A1-19-T20	S1	S	A1	20	400
20131105_BB	14	Y	2013.07.19	S1-A1-19-T30	S1	S	A1	30	900
20131105_BB	15	Y	2013.07.19	S1-A2-19-T0	S1	S	A2	0	0
20131105_BB	16	Y	2013.07.19	S1-A2-19-T10	S1	S	A2	10	100
20131105_BB	17	Y	2013.07.19	S1-A2-19-T20	S1	S	A2	20	400
20131105_BB	18	Y	2013.07.19	S1-A2-19-T30	S1	S	A2	30	900
20131105_BB	19	Y	2013.07.19	S1-B1-19-T0	S1	S	B1	0	0
20131105_BB	20	Y	2013.07.19	S1-B1-19-T10	S1	S	B1	10	100
20131105_BB	21	Y	2013.06.18	S3-C-18-T20	S3	S	C	20	400
20131105_BB	22	Y	2013.06.18	S3-C-18-T30	S3	S	C	30	900
20131105_BB	23	Y	2013.06.18	S3-D-18-T0	S3	S	D	0	0
20131105_BB	24	Y	2013.06.18	S3-D-18-T10	S3	S	D	10	100
20131105_BB	25	Y	2013.06.18	S3-D-18-T20	S3	S	D	20	400
20131105_BB	26	Y	2013.06.18	S3-D-18-T30	S3	S	D	30	900
20131105_BB	27	Y	2013.06.18	S3-E-18-T0	S3	S	E	0	0
20131105_BB	28	Y	2013.06.18	S3-E-18-T10	S3	S	E	10	100
20131105_BB	29	Y	2013.06.18	S3-E-18-T20	S3	S	E	20	400
20131105_BB	30	Y	2013.06.18	S3-E-18-T30	S3	S	E	30	900
20131105_BB	31	Y	2013.06.18	S3-A-18-T0	S3	S	A	0	0
20131105_BB	32	Y	2013.06.18	S3-A-18-T10	S3	S	A	10	100
20131105_BB	33	Y	2013.06.18	S3-A-18-T20	S3	S	A	20	400
20131105_BB	34	Y	2013.06.18	S3-A-18-T30	S3	S	A	30	900
20131105_BB	35	Y	2013.06.18	S3-B-18-T0	S3	S	B	0	0
20131105_BB	36	Y	2013.06.18	S3-B-18-T10	S3	S	B	10	100
20131105_BB	37	Y	2013.06.18	S3-B-18-T20	S3	S	B	20	400
20131105_BB	38	Y	2013.06.18	S3-B-18-T30	S3	S	B	30	900
20131105_BB	39	Y	2013.06.18	S3-C-18-T0	S3	S	C	0	0
20131105_BB	40	Y	2013.06.18	S3-C-18-T10	S3	S	C	10	100
20131105_BB	41	Y	2013.06.18	M3-C-18-T20	M3	M	C	20	400
20131105_BB	42	Y	2013.06.18	M3-C-18-T30	M3	M	C	30	900
20131105_BB	43	Y	2013.06.18	M3-D-18-T0	M3	M	D	0	0
20131105_BB	44	Y	2013.06.18	M3-D-18-T10	M3	M	D	10	100
20131105_BB	45	Y	2013.06.18	M3-D-18-T20	M3	M	D	20	400
20131105_BB	46	Y	2013.06.18	M3-D-18-T30	M3	M	D	30	900
20131105_BB	47	Y	2013.06.18	M3-E-18-T0	M3	M	E	0	0
20131105_BB	48	Y	2013.06.18	M3-E-18-T10	M3	M	E	10	100
20131105_BB	49	Y	2013.06.18	M3-E-18-T20	M3	M	E	20	400
20131105_BB	50	Y	2013.06.18	M3-E-18-T30	M3	M	E	30	900
20131105_BB	51	Y	2013.06.18	M3-A-18-T0	M3	M	A	0	0
20131105_BB	52	Y	2013.06.18	M3-A-18-T10	M3	M	A	10	100
20131105_BB	53	Y	2013.06.18	M3-A-18-T20	M3	M	A	20	400
20131105_BB	54	Y	2013.06.18	M3-A-18-T30	M3	M	A	30	900
20131105_BB	55	Y	2013.06.18	M3-B-18-T0	M3	M	B	0	0
20131105_BB	56	Y	2013.06.18	M3-B-18-T10	M3	M	B	10	100
20131105_BB	57	Y	2013.06.18	M3-B-18-T20	M3	M	B	20	400
20131105_BB	58	Y	2013.06.18	M3-B-18-T30	M3	M	B	30	900
20131105_BB	59	Y	2013.06.18	M3-C-18-T0	M3	M	C	0	0
20131105_BB	60	Y	2013.06.18	M3-C-18-T10	M3	M	C	10	100
20131105_BB	61	Y	2013.06.11	F1-A-11-T20	F1	F	A	20	400
20131105_BB	62	Y	2013.06.11	F1-A-11-T30	F1	F	A	30	900
