N2Oraw,CO2raw,CH4raw,SampleName,Site,LUtype,Chamber,TimePt,TimePtSq,SampleDate,Pressure,N2Oc,CO2c,CH4c,N2Oppm,CO2ppm,CH4ppm,ngN_cm3_N2O,ngC_cm3_CO2,ngC_cm3_CH4,GCrun,easycallname,pitID,sampledepth,sampleorder,Month
41.8868,582.5752,6.4286,F1-C2-015cm-A,F1,F,NA,NA,NA,2/26/14,Y,46.650425,984.2944375,4.1759375,0.4463458,10531.88007,0.645514699,0.502407657,5.080587285,0.000311397,20140310_H,F1_2014.02.26_NA,C2,15,A,Feb
40.8482,570.4262,6.2296,F1-C2-015cm-B,F1,F,NA,NA,NA,2/26/14,Y,44.832875,963.0336875,3.8276875,0.428191559,10304.73327,0.611888608,0.481973209,4.971011486,0.000295176,20140310_H,F1_2014.02.26_NA,C2,15,B,Feb
42.27,579.38,6.5342,F1-C2-015cm-C,F1,F,NA,NA,NA,2/26/14,Y,47.321025,978.7028375,4.3607375,0.453043956,10472.14022,0.663358495,0.509947114,5.051768733,0.000320005,20140310_H,F1_2014.02.26_NA,C2,15,C,Feb
42.8976,601.458,5.3716,F1-C2-040cm-A,F1,F,NA,NA,NA,2/26/14,Y,48.419325,1017.339338,2.3261875,0.46401411,10884.92705,0.466907772,0.52229514,5.250897425,0.000225237,20140310_H,F1_2014.02.26_NA,C2,40,A,Feb
41.1334,387.1134,7.1384,F1-C2-040cm-B,F1,F,NA,NA,NA,2/26/14,Y,45.331975,642.2362875,5.4180875,0.433176721,6877.379833,0.765453391,0.487584517,3.317653476,0.000369255,20140310_H,F1_2014.02.26_NA,C2,40,B,Feb
40.636,566.5984,4.8768,F1-C2-040cm-C,F1,F,NA,NA,NA,2/26/14,Y,44.461525,956.3350375,1.4602875,0.424482402,10233.16585,0.383298777,0.477798176,4.936487308,0.000184904,20140310_H,F1_2014.02.26_NA,C2,40,C,Feb
43.932,718.5584,5.0276,F1-C2-075cm-A,F1,F,NA,NA,NA,2/26/14,Y,50.229525,1222.265038,1.7241875,0.482094938,13074.32385,0.408780257,0.542646952,6.307064176,0.000197196,20140310_H,F1_2014.02.26_NA,C2,75,A,Feb
43.7748,743.843,5.072,F1-C2-075cm-B,F1,F,NA,NA,NA,2/26/14,Y,49.954425,1266.513088,1.8018875,0.479347155,13547.06367,0.416282762,0.539554044,6.535114241,0.000200815,20140310_H,F1_2014.02.26_NA,C2,75,B,Feb
43.3156,753.6458,5.0364,F1-C2-075cm-C,F1,F,NA,NA,NA,2/26/14,Y,49.150825,1283.667988,1.7395875,0.471320554,13730.34417,0.41026724,0.530519287,6.623528896,0.000197913,20140310_H,F1_2014.02.26_NA,C2,75,C,Feb
46.3708,734.4458,5.1764,F1-C2-150cm-A,F1,F,NA,NA,NA,2/26/14,Y,54.497425,1250.067988,1.9845875,0.524724019,13371.36658,0.433923787,0.590630325,6.450357825,0.000209325,20140310_H,F1_2014.02.26_NA,C2,150,A,Feb
48.782,778.5294,4.8592,F1-C2-150cm-A,F1,F,NA,NA,NA,2/26/14,Y,58.717025,1327.214288,1.4294875,0.566870665,14195.58659,0.380324811,0.638070668,6.847962211,0.000183469,20140310_H,F1_2014.02.26_NA,C2,150,A,Feb
