Site,Chamber,DryWeightToUse_g,Volume_mL,BulkDensity_gcm3,SampleMonth,Notes,SampleType
F1,NA,6541.94,6250.00,1.05,7.2013,,Truth bar hole
F2,NA,6298.83,6250.00,1.01,7.2013,,Truth bar hole
F3,NA,5962.59,6250.00,0.95,7.2013,,Truth bar hole
M1,NA,9439.53,6250.00,1.51,7.2013,,Truth bar hole
M2,NA,6895.58,6250.00,1.10,7.2013,,Truth bar hole
M3,NA,9264.35,6250.00,1.48,7.2013,,Truth bar hole
S1,NA,9703.47,6250.00,1.55,7.2013,,Truth bar hole
S2,NA,9997.65,6250.00,1.60,7.2013,,Truth bar hole
S3,NA,8278.41,6250.00,1.32,7.2013,,Truth bar hole
F1,A,120.90,97.00,1.25,11.2014,,BD ring
F1,A,118.70,97.00,1.22,11.2014,,BD ring
F1,A,125.40,97.00,1.29,11.2014,,BD ring
F1,B,112.00,97.00,1.15,11.2014,,BD ring
F1,B,123.70,97.00,1.28,11.2014,,BD ring
F1,B,113.50,97.00,1.17,11.2014,,BD ring
F1,C,136.20,97.00,1.40,11.2014,,BD ring
F1,C,130.00,97.00,1.34,11.2014,,BD ring
F1,C,129.00,97.00,1.33,11.2014,,BD ring
F1,D,106.90,97.00,1.10,11.2014,,BD ring
F1,D,107.60,97.00,1.11,11.2014,,BD ring
F1,D,114.00,97.00,1.18,11.2014,,BD ring
F1,E,124.70,97.00,1.29,11.2014,,BD ring
F1,E,108.40,97.00,1.12,11.2014,,BD ring
F1,E,121.90,97.00,1.26,11.2014,,BD ring
F2,A,117.30,97.00,1.21,11.2014,,BD ring
F2,A,117.70,97.00,1.21,11.2014,switched to F2A since that was the only F site with one repeat too few for a chamber and it was also an A,BD ring
F2,B,177.80,97.00,1.83,11.2014,,BD ring
F2,B,118.40,97.00,1.22,11.2014,,BD ring
F2,C,125.10,97.00,1.29,11.2014,,BD ring
F2,C,120.90,97.00,1.25,11.2014,,BD ring
F2,D,113.60,97.00,1.17,11.2014,,BD ring
F2,D,131.20,97.00,1.35,11.2014,,BD ring
F2,E,131.50,97.00,1.36,11.2014,,BD ring
F2,E,128.80,97.00,1.33,11.2014,,BD ring
F3,A,109.50,97.00,1.13,11.2014,,BD ring
F3,A,104.90,97.00,1.08,11.2014,,BD ring
F3,B,116.70,97.00,1.20,11.2014,,BD ring
F3,B,114.90,97.00,1.18,11.2014,,BD ring
F3,C,104.30,97.00,1.08,11.2014,,BD ring
F3,C,115.20,97.00,1.19,11.2014,,BD ring
F3,D,124.20,97.00,1.28,11.2014,,BD ring
F3,D,120.60,97.00,1.24,11.2014,,BD ring
F3,E,121.30,97.00,1.25,11.2014,,BD ring
F3,E,126.10,97.00,1.30,11.2014,,BD ring
M1,A,149.10,97.00,1.54,11.2014,,BD ring
M1,A,150.70,97.00,1.55,11.2014,,BD ring
M1,A,141.90,97.00,1.46,11.2014,,BD ring
M1,B,140.60,97.00,1.45,11.2014,,BD ring
M1,B,138.30,97.00,1.43,11.2014,,BD ring
M1,B,141.20,97.00,1.46,11.2014,,BD ring
M1,C,135.50,97.00,1.40,11.2014,,BD ring
