Site	Chamber	SampleDate	DarroWgtFull	TownWgtFull	TownBag	Darro-Tare	Town-Tare	theta_d
M2	A	1/4/14	183.88	137.2	small	180.79	134.79	0.341271608
M2	B	1/4/14	192.55	141.6	small	189.46	139.19	0.361161003
M2	C	1/4/14	139.93	103.6	small	151.62	101.19	0.498369404
M2	D	1/4/14	90.79	66.2	small	87.7	63.79	0.37482364
M2	E	1/4/14	154.71	114.7	small	151.62	112.29	0.350253807
F3	A	2/4/14	127.6	101.2	small	124.51	98.79	0.260350238
F3	B	2/4/14	118.47	92	small	115.38	89.59	0.287866949
F3	C	2/4/14	116.66	91.6	small	113.57	89.19	0.27334903
F3	D	2/4/14	130.4	102.9	small	127.31	100.49	0.266892228
M3	A	2/4/14	137.18	113.4	small	134.09	110.99	0.208126858
M3	B	2/4/14	172.35	144.3	small	169.26	141.89	0.192895905
M3	C	2/4/14	129.13	104.9	small	126.04	102.49	0.229778515
M3	D	2/4/14	122.38	101	small	119.29	98.59	0.209960442
M3	E	2/4/14	107.77	89.6	small	104.68	87.19	0.200596399
F2	A	3/4/14	118.28	94.5	small	115.19	92.09	0.250841568
F2	B	3/4/14	114.15	91.4	small	111.06	88.99	0.248005394
F2	C	3/4/14	146.79	115.6	small	143.7	113.19	0.26954678
F2	D	3/4/14	132.37	106.7	small	129.28	104.29	0.23962029
F2	A	5/2/14	186.19	152.2	small	183.1	149.79	0.222377996
F2	B	5/2/14	166.88	137.7	small	163.79	135.29	0.210658585
F2	C	5/2/14	131.91	105.1	small	128.82	102.69	0.254455156
F2	D	5/2/14	170.74	141.5	small	167.65	139.09	0.205334675
F2	E	5/2/14	177.75	146.7	small	174.66	144.29	0.210478897
F1	A	6/2/14	129.53	106.8	small	126.44	104.39	0.211227129
F1	B	6/2/14	180.73	146.8	small	177.64	144.39	0.230279105
F1	C	6/2/14	177.32	143.3	small	174.23	140.89	0.236638512
F1	D	6/2/14	166.8	135.8	small	163.71	133.39	0.227303396
F1	E	6/2/14	158.52	117.7	small	155.43	115.29	0.348165496
M2	A	6/2/14	116.9	94.7	small	113.81	92.29	0.233178026
M2	B	6/2/14	149.67	123.6	small	146.58	121.19	0.209505735
M2	C	6/2/14	145.71	118.3	small	142.62	115.89	0.230649754
M2	D	6/2/14	134.58	109.5	small	131.49	107.09	0.227845737
M2	E	6/2/14	127.32	103.8	small	124.23	101.39	0.225268764
S?	A	6/2/14	102.06	82.9	small	98.97	80.49	0.229593738
S?	B	6/2/14	134.95	110.3	small	131.86	107.89	0.222170729
S?	C	6/2/14	186.02	151.5	small	182.93	149.09	0.226976994
S?	D	6/2/14	151.69	123.6	small	148.6	121.19	0.226173777
S?	E	6/2/14	133.8	108.5	small	130.71	106.09	0.232067113
F2	A	6/3/14	465.5	389.8	large	462.41	383.35	0.206234512
F2	B	6/3/14	370.9	301.6	large	367.81	295.15	0.246179909
F2	C	6/3/14	437.3	340.7	large	434.21	334.25	0.299057592
F2	D	6/3/14	422	354.7	large	418.91	348.25	0.202900215
F2	E	6/3/14	422.7	346.8	large	419.61	340.35	0.23287792
M1	A	6/3/14	473.5	370.8	large	470.41	364.35	0.291093729
M1	B	6/3/14	489.8	399.9	large	486.71	393.45	0.237031389
M1	C	6/3/14	459.9	359.5	large	456.81	353.05	0.293896049
