Site,Chamber,DateField,DateLabBegin,DateLabEnd,SampleID,SoilWetWeight_DarroPlasBaggie,SoilWetWeight_TownOnArrival,SoilDryWeight_TownPapBag,TownBagType,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,SoilWetDryWeight_MassDifference,SoilMoisture_DryWeightBasis,SampleIDVialExt,ExtractionSoilWeight,ExtractionKCl,SampleIDVialInc,IncubationSoilWeight_80g,IncubationSoilWeight,IncubationKCl,DateLabBeginInc,DateLabEndInc,SampleIDVialIncDOC,DOCSoilWeight,DOCDIWater,DateLabBeginDOC,DateLabEndDOC,Comments,
M2,A,17/12/2013,17/12/2013,,M2A_17122013,61.73,,47.8,small,58.64,45.39,13.25,0.291914519,extr M2A_17122013,10.08,50,incub M2A_17122013,,11.63,50,,,,,,,,,
M2,B,17/12/2013,17/12/2013,,M2B_17122013,53.62,,42.6,small,50.53,40.19,10.34,0.25727793,extr M2B_17122013,11.06,50,incub M2B_17122013,,10.39,50,,,,,,,,,
M2,C,17/12/2013,17/12/2013,,M2C_17122013,66.83,,48.6,small,63.74,46.19,17.55,0.379952371,extr M2C_17122013,9.13,50,incub M2C_17122013,,9.91,50,,,,,,,,,
M2,D,17/12/2013,17/12/2013,,M2D_17122013,49.87,,39.3,small,46.78,36.89,9.89,0.268094335,extr M2D_17122013,8.25,50,incub M2D_17122013,,5.9,50,,,,,,,,,
M2,E,17/12/2013,17/12/2013,,M2E_17122013,58.92,,46.4,small,55.83,43.99,11.84,0.26915208,extr M2E_17122013,11.16,50,incub M2E_17122013,,9.76,50,,,,,,,,,
F3,A,17/12/2013,17/12/2013,,F3A_17122013,30.66,,20.3,small,27.57,17.89,9.68,0.541084405,extr F3A_17122013,7.66,50,incub F3A_17122013,,3.8,50,,,,,,,,not enough soil and I would rather lowball the incubation than the soil moisture or extraction measurement,
F3,B,17/12/2013,17/12/2013,,F3B_17122013,51.86,,40.7,small,48.77,38.29,10.48,0.273700705,extr F3B_17122013,7.51,50,incub F3B_17122013,,8.14,50,,,,,,,,,
F3,C,17/12/2013,17/12/2013,,F3C_17122013,53.04,,42,small,49.95,39.59,10.36,0.261682243,extr F3C_17122013,9.15,50,incub F3C_17122013,,4.88,50,,,,,,,,not enough soil and I would rather lowball the incubation than the soil moisture or extraction measurement,
F3,D,17/12/2013,17/12/2013,,F3D_17122013,40.84,,32.9,small,37.75,30.49,7.26,0.238110856,extr F3D_17122013,7.84,50,incub F3D_17122013,,5.68,50,,,,,,,,not enough soil and I would rather lowball the incubation than the soil moisture or extraction measurement,
F3,E,17/12/2013,17/12/2013,,F3E_17122013,33.53,,25.7,small,30.44,23.29,7.15,0.306998712,extr F3E_17122013,7.95,50,incub F3E_17122013,,3.24,50,,,,,,,,not enough soil and I would rather lowball the incubation than the soil moisture or extraction measurement,
F1,A,17/12/2013,17/12/2013,,F1A_17122013,89.79,,71.7,small,86.7,69.29,17.41,0.251262808,extr F1A_17122013,10.11,50,incub F1A_17122013,,11.55,50,,,,,,,,the incubation soil wouldn't sieve - was just chunks of mud I dropped into the thingy,
F1,B,17/12/2013,17/12/2013,,F1B_17122013,87.11,,67.6,small,84.02,65.19,18.83,0.288847983,extr F1B_17122013,9.07,50,incub F1B_17122013,,8.86,50,,,,,,,,ALL OF THE SOIL MOISTURE BAGS FOR F1 WERE MISLABELED AS F2 BUT NOW ALL FIXEDÉ WATCH FOR THIS ERROR ELSEWHERE,
F1,C,17/12/2013,17/12/2013,,F1C_17122013,121.02,,93.1,small,117.93,90.69,27.24,0.300363877,extr F1C_17122013,9.56,50,incub F1C_17122013,,10.79,50,,,,,,,,ALL OF THE SOIL MOISTURE BAGS FOR F1 WERE MISLABELED AS F2 BUT NOW ALL FIXEDÉ WATCH FOR THIS ERROR ELSEWHERE,
F1,D,17/12/2013,17/12/2013,,F1D_17122013,159.69,,119.4,small,156.6,116.99,39.61,0.338575947,extr F1D_17122013,9.33,50,incub F1D_17122013,,10.58,50,,,,,,,,ALL OF THE SOIL MOISTURE BAGS FOR F1 WERE MISLABELED AS F2 BUT NOW ALL FIXEDÉ WATCH FOR THIS ERROR ELSEWHERE,
F1,E,17/12/2013,17/12/2013,,F1E_17122013,153.07,,124.4,small,149.98,121.99,27.99,0.229445036,extr F1E_17122013,9.21,50,incub F1E_17122013,,11.58,50,,,,,,,,ALL OF THE SOIL MOISTURE BAGS FOR F1 WERE MISLABELED AS F2 BUT NOW ALL FIXEDÉ WATCH FOR THIS ERROR ELSEWHERE,
Blank,NA,NaN,17/12/2013,,bnk 17122013,NA,,NA,NA,NA,NA,NA,NA,bnk 17122013,NA,50,NA,,NA,NA,NaN,NaN,,,,,,,
Blank,NA,NaN,17/12/2013,,bnk 17122013,NA,,NA,NA,NA,NA,NA,NA,bnk 17122013,NA,50,NA,,NA,NA,NaN,NaN,,,,,,,
Blank,NA,NaN,17/12/2013,,bnk 17122013,NA,,NA,NA,NA,NA,NA,NA,bnk 17122013,NA,50,NA,,NA,NA,NaN,NaN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,A,18/12/2013,18/12/2013,,M3A_18122013,181.76,,144.2,small,178.67,141.79,36.88,0.260102969,extr M3A_18122013,,50,incub M3A_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
M3,B,18/12/2013,18/12/2013,,M3B_18122013,173.29,,139,small,170.2,136.59,33.61,0.246064866,extr M3B_18122013,,50,incub M3B_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
M3,C,18/12/2013,18/12/2013,,M3C_18122013,162.69,,129.6,small,159.6,127.19,32.41,0.25481563,extr M3C_18122013,,50,incub M3C_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
