"num","sampleID","capnotes","labelnotes","listdiffs","nitrppm","ammppm","extinc","datestr","date","Site","LUtype","Chamber","test2448","acidwashed"
"1","extr M1A_29012014",NA,NA,NA,"0.0563","0.533807","ext","29012014",2014-01-29,"M1","M","A","NA","NA"
"2","extr M1B_29012014",NA,NA,NA,"0.0563","0.5063172","ext","29012014",2014-01-29,"M1","M","B","NA","NA"
"3","extr M1C_29012014",NA,NA,NA,"0.16255","0.5160776","ext","29012014",2014-01-29,"M1","M","C","NA","NA"
"4","extr M1D_29012014",NA,NA,NA,"0.0563","0.7591152","ext","29012014",2014-01-29,"M1","M","D","NA","NA"
"5","extr M1E_29012014",NA,NA,NA,"0.0563","0.601446","ext","29012014",2014-01-29,"M1","M","E","NA","NA"
"6","extr F3A_29012014",NA,NA,NA,"0.0563","0.5393034","ext","29012014",2014-01-29,"F3","F","A","NA","NA"
"7","extr F3B_29012014",NA,NA,NA,"0.0563","0.3425614","ext","29012014",2014-01-29,"F3","F","B","NA","NA"
"8","extr F3C_29012014",NA,NA,NA,"0.6438","1.596869","ext","29012014",2014-01-29,"F3","F","C","NA","NA"
"9","extr F3D_29012014",NA,NA,NA,"0.0563","-0.1779222","ext","29012014",2014-01-29,"F3","F","D","NA","NA"
"10","extr F3E_29012014",NA,NA,NA,"0.32505","0.264135","ext","29012014",2014-01-29,"F3","F","E","NA","NA"
"11","ext bnk 29012014",NA,NA,NA,"0.0563","0.0553238","bnk","29012014",2014-01-29,"NA","NA","NA","NA","NA"
"12","ext bnk 29012014",NA,NA,NA,"0.0563","0.0475524","bnk","29012014",2014-01-29,"NA","NA","NA","NA","NA"
"13","ext bnk 29012014",NA,NA,NA,"0.0563","0.0422822","bnk","29012014",2014-01-29,"NA","NA","NA","NA","NA"
"14","extr M3A_30012014",NA,NA,NA,"0.0563","0.2732012","ext","30012014",2014-01-30,"M3","M","A","NA","NA"
"15","extr M3B_30012014",NA,NA,NA,"0.30005","0.288419","ext","30012014",2014-01-30,"M3","M","B","NA","NA"
"16","extr M3C_30012014",NA,NA,NA,"0.11255","0.4750834","ext","30012014",2014-01-30,"M3","M","C","NA","NA"
"17","extr M3D_30012014",NA,NA,NA,"0.11255","0.2064826","ext","30012014",2014-01-30,"M3","M","D","NA","NA"
"18","extr M3E_30012014",NA,NA,NA,"0.0563","0.2996302","ext","30012014",2014-01-30,"M3","M","E","NA","NA"
"19","extr S1A_30012014",NA,NA,NA,"0.0563","0.1733222","ext","30012014",2014-01-30,"S1","S","A","NA","NA"
"20","extr S1B_30012014",NA,NA,NA,"0.0563","0.2225038","ext","30012014",2014-01-30,"S1","S","B","NA","NA"
"21","extr S1C_30012014",NA,NA,NA,"0.0563","0.2000424","ext","30012014",2014-01-30,"S1","S","C","NA","NA"
"22","extr S1D_30012014",NA,NA,NA,"0.0563","0.1509154","ext","30012014",2014-01-30,"S1","S","D","NA","NA"
"23","extr S1E_30012014",NA,NA,NA,"0.0563","0.2411874","ext","30012014",2014-01-30,"S1","S","E","NA","NA"
"24","ext bnk 30012014",NA,NA,NA,"0.0563","0.0436628","bnk","30012014",2014-01-30,"NA","NA","NA","NA","NA"
"25","ext bnk 30012014",NA,NA,NA,"0.0563","0.0417466","bnk","30012014",2014-01-30,"NA","NA","NA","NA","NA"
"26","ext bnk 30012014",NA,NA,NA,"0.0563","0.0389932","bnk","30012014",2014-01-30,"NA","NA","NA","NA","NA"
"27","extr F2A_05022014",NA,NA,NA,"Sample absent","Sample absent","ext","05022014",2014-02-05,"F2","F","A","NA","NA"
"28","extr F2B_05022014",NA,NA,NA,"Sample absent","Sample absent","ext","05022014",2014-02-05,"F2","F","B","NA","NA"
"29","extr F2C_05022014",NA,NA,NA,"Sample absent","Sample absent","ext","05022014",2014-02-05,"F2","F","C","NA","NA"
"30","extr F2D_05022014",NA,NA,NA,"Sample absent","Sample absent","ext","05022014",2014-02-05,"F2","F","D","NA","NA"
"31","extr F2E_05022014",NA,NA,NA,"Sample absent","Sample absent","ext","05022014",2014-02-05,"F2","F","E","NA","NA"
"32","ext bnk 05022014",NA,NA,NA,"Sample absent","Sample absent","bnk","05022014",2014-02-05,"NA","NA","NA","NA","NA"
"33","ext bnk 05022014",NA,NA,NA,"Sample absent","Sample absent","bnk","05022014",2014-02-05,"NA","NA","NA","NA","NA"
"34","ext bnk 05022014",NA,NA,NA,"Sample absent","Sample absent","bnk","05022014",2014-02-05,"NA","NA","NA","NA","NA"
