Site	LUtype	Chamber	SampleDate	Season	StartTime	RowInter	AirTmpStart	AirTmpEnd	SoilTmpEnd	SoilMoisPercent	DOC	NFert	FertDateMaizePlanting	FertTimeElapsedMaizePlanting	FertDateMaizeBroadcast	FertTimeElapsedMaizeBroadcast		
F1	F	A	2013.06.11	Dry	14:00	NA	NA	27.0	25.0	0.180636127	NA	N	NA	NA	NA	NA		
F1	F	B	2013.06.11	Dry	14:00	NA	NA	27.0	22.0	0.199011757	NA	N	NA	NA	NA	NA		
F1	F	C	2013.06.11	Dry	14:00	NA	NA	27.0	25.0	0.208178439	NA	N	NA	NA	NA	NA		
F1	F	D	2013.06.11	Dry	14:00	NA	NA	27.0	25.0	0.250708789	NA	N	NA	NA	NA	NA		
F1	F	E	2013.06.11	Dry	14:00	NA	NA	27.0	24.0	0.192850423	NA	N	NA	NA	NA	NA		
F1	F	A	2013.07.24	Dry	13:30	NA	23.0	23.0	22.0	0.160747011	NA	N	NA	NA	NA	NA		
F1	F	B	2013.07.24	Dry	13:30	NA	23.0	23.0	24.0	0.174993827	NA	N	NA	NA	NA	NA		
F1	F	C	2013.07.24	Dry	13:30	NA	23.0	23.0	26.0	0.17760652	NA	N	NA	NA	NA	NA		
F1	F	D	2013.07.24	Dry	13:30	NA	23.0	23.0	21.0	0.153363305	NA	N	NA	NA	NA	NA		
F1	F	E	2013.07.24	Dry	13:30	NA	23.0	23.0	23.0	0.183715858	NA	N	NA	NA	NA	NA		
F1	F	A	2013.12.17	Wet	14:00	F	30.5	31.0	25.0	0.251262808	NA	N	NA	NA	NA	NA		
F1	F	B	2013.12.17	Wet	14:00	F	30.5	31.0	25.0	0.288847983	NA	N	NA	NA	NA	NA		
F1	F	C	2013.12.17	Wet	14:00	F	30.5	31.0	25.0	0.300363877	NA	N	NA	NA	NA	NA		
F1	F	D	2013.12.17	Wet	14:00	F	30.5	31.0	25.0	0.338575947	NA	N	NA	NA	NA	NA		
F1	F	E	2013.12.17	Wet	14:00	F	30.5	31.0	25.0	0.229445036	NA	N	NA	NA	NA	NA		
F1	F	A	2014.02.06	Wet	7:35	F	24.7	25.3	24.0	0.211227129	NA	N	NA	NA	NA	NA		
F1	F	B	2014.02.06	Wet	7:35	F	24.7	25.3	25.0	0.230279105	NA	N	NA	NA	NA	NA		
F1	F	C	2014.02.06	Wet	7:35	F	24.7	25.3	25.0	0.236638512	NA	N	NA	NA	NA	NA		
F1	F	D	2014.02.06	Wet	7:35	F	24.7	25.3	25.0	0.227303396	NA	N	NA	NA	NA	NA		
F1	F	E	2014.02.06	Wet	7:35	F	24.7	25.3	25.0	0.348165496	NA	N	NA	NA	NA	NA		
F1	F	A	2014.02.11	Wet	13:20	F	32.0	24.0	25.0	0.288180733	NA	N	NA	NA	NA	NA		
F1	F	B	2014.02.11	Wet	13:20	F	32.0	24.0	24.0	0.269647169	NA	N	NA	NA	NA	NA		
F1	F	C	2014.02.11	Wet	13:20	F	32.0	24.0	25.0	0.27671385	NA	N	NA	NA	NA	NA		
F1	F	D	2014.02.11	Wet	13:20	F	32.0	24.0	26.0	0.297739348	NA	N	NA	NA	NA	NA		
F1	F	E	2014.02.11	Wet	13:20	F	32.0	24.0	25.0	0.402100304	NA	N	NA	NA	NA	NA		
F1	F	A	2014.03.25	Wet	9:00	F	23.5	24.0	23.0	0.261103492	NA	N	NA	NA	NA	NA		
F1	F	B	2014.03.25	Wet	9:00	F	23.5	24.0	22.0	0.333472237	NA	N	NA	NA	NA	NA		
F1	F	C	2014.03.25	Wet	9:00	F	23.5	24.0	23.0	0.272551032	NA	N	NA	NA	NA	NA		
F1	F	D	2014.03.25	Wet	9:00	F	23.5	24.0	24.0	0.264053553	NA	N	NA	NA	NA	NA		
F1	F	A	2014.11.10	Wet	14:00	F	33.0	27.7	25.0	NA	NA	N	NA	NA	NA	NA		
F1	F	B	2014.11.10	Wet	14:00	F	33.0	27.7	25.0	NA	NA	N	NA	NA	NA	NA		
F1	F	C	2014.11.10	Wet	14:00	F	33.0	27.7	23.0	NA	NA	N	NA	NA	NA	NA		
F1	F	D	2014.11.10	Wet	14:00	F	33.0	27.7	26.0	NA	NA	N	NA	NA	NA	NA		
F1	F	E	2014.11.10	Wet	14:00	F	33.0	27.7	25.0	NA	NA	N	NA	NA	NA	NA		
F2	F	A	2013.06.13	Dry	11:45	NA	NA	27.5	24.0	0.166119893	NA	N	NA	NA	NA	NA		
F2	F	B	2013.06.13	Dry	11:45	NA	NA	27.5	23.0	0.177510104	NA	N	NA	NA	NA	NA		
F2	F	C	2013.06.13	Dry	11:45	NA	NA	27.5	24.0	0.167802832	NA	N	NA	NA	NA	NA		
F2	F	D	2013.06.13	Dry	11:45	NA	NA	27.5	22.0	0.188444248	NA	N	NA	NA	NA	NA		
F2	F	E	2013.06.13	Dry	11:45	NA	NA	27.5	22.0	0.169279481	NA	N	NA	NA	NA	NA		
F2	F	A	2013.06.20	Dry	13:45	NA	31.5	32.0	25.0	0.175229424	NA	N	NA	NA	NA	NA		
F2	F	B	2013.06.20	Dry	13:45	NA	31.5	32.0	24.0	0.163040781	NA	N	NA	NA	NA	NA		
F2	F	C	2013.06.20	Dry	13:45	NA	31.5	32.0	24.0	0.180347786	NA	N	NA	NA	NA	NA		
F2	F	D	2013.06.20	Dry	13:45	NA	31.5	32.0	25.0	0.186340825	NA	N	NA	NA	NA	NA		
F2	F	E	2013.06.20	Dry	13:45	NA	31.5	32.0	19.0	0.199770849	NA	N	NA	NA	NA	NA		
F2	F	A	2013.06.25	Dry	11:25	NA	27.5	27.0	24.0	0.194244604	NA	N	NA	NA	NA	NA		
F2	F	B	2013.06.25	Dry	11:25	NA	27.5	27.0	21.0	0.207876328	NA	N	NA	NA	NA	NA		
F2	F	C	2013.06.25	Dry	11:25	NA	27.5	27.0	19.0	0.205198567	NA	N	NA	NA	NA	NA		
F2	F	D	2013.06.25	Dry	11:25	NA	27.5	27.0	24.0	0.209294948	NA	N	NA	NA	NA	NA		
F2	F	E	2013.06.25	Dry	11:25	NA	27.5	27.0	25.0	0.204033442	NA	N	NA	NA	NA	NA		
F2	F	A	2013.06.27	Dry	11:10	NA	34.0	33.0	18.0	0.207589705	NA	N	NA	NA	NA	NA		
F2	F	B	2013.06.27	Dry	11:10	NA	34.0	33.0	23.0	0.174835696	NA	N	NA	NA	NA	NA		
F2	F	C	2013.06.27	Dry	11:10	NA	34.0	33.0	24.0	0.184320267	NA	N	NA	NA	NA	NA		
