"Site","LUtype","Chamber","SampleDate","StartTime","RowInter","AirTmpStart","AirTmpEnd","SoilTmpEnd","SoilMoisPercent","NO3","NH4","NetNMin","NetNNitr","DOC","DaysPostNFert","FertPlant","color.use","LUname","SampleDate2","easysitename"
"F2","F","A","2013.06.13","","",NA,NA,NA,0.166119893,NA,NA,NA,NA,NA,NA,"","darkgreen","Forest",2013-06-13,"F2_2013.06.13"
"F2","F","B","2013.06.13","","",NA,NA,NA,0.177510104,NA,NA,NA,NA,NA,NA,"","darkgreen","Forest",2013-06-13,"F2_2013.06.13"
"F2","F","C","2013.06.13","","",NA,NA,NA,0.167802832,NA,NA,NA,NA,NA,NA,"","darkgreen","Forest",2013-06-13,"F2_2013.06.13"
"F2","F","D","2013.06.13","","",NA,NA,NA,0.188444248,NA,NA,NA,NA,NA,NA,"","darkgreen","Forest",2013-06-13,"F2_2013.06.13"
"F2","F","E","2013.06.13","","",NA,NA,NA,0.169279481,NA,NA,NA,NA,NA,NA,"","darkgreen","Forest",2013-06-13,"F2_2013.06.13"
"S1","S","A","2013.06.13","","",NA,NA,NA,0.110695041,NA,NA,NA,NA,NA,NA,"","darkblue","Soya SC",2013-06-13,"S1_2013.06.13"
"S1","S","B","2013.06.13","","",NA,NA,NA,0.103814497,NA,NA,NA,NA,NA,NA,"","darkblue","Soya SC",2013-06-13,"S1_2013.06.13"
"S1","S","C","2013.06.13","","",NA,NA,NA,0.095374297,NA,NA,NA,NA,NA,NA,"","darkblue","Soya SC",2013-06-13,"S1_2013.06.13"
"S1","S","D","2013.06.13","","",NA,NA,NA,0.128125286,NA,NA,NA,NA,NA,NA,"","darkblue","Soya SC",2013-06-13,"S1_2013.06.13"
"S1","S","E","2013.06.13","","",NA,NA,NA,0.085002313,NA,NA,NA,NA,NA,NA,"","darkblue","Soya SC",2013-06-13,"S1_2013.06.13"
"F3","F","A","2013.06.14","","",NA,NA,NA,0.180891919,NA,NA,NA,NA,NA,NA,"","darkgreen","Forest",2013-06-14,"F3_2013.06.14"
