"sampleID","nitrppm","ammppm","extinc","date","Site","LUtype","Chamber","test2448","acidwashed"
"extr M1A_29012014","0.0563","0.533807","ext",2014-01-29,"M1","M","A","NA","NA"
"extr M1B_29012014","0.0563","0.5063172","ext",2014-01-29,"M1","M","B","NA","NA"
"extr M1C_29012014","0.16255","0.5160776","ext",2014-01-29,"M1","M","C","NA","NA"
"extr M1D_29012014","0.0563","0.7591152","ext",2014-01-29,"M1","M","D","NA","NA"
"extr M1E_29012014","0.0563","0.601446","ext",2014-01-29,"M1","M","E","NA","NA"
"extr F3A_29012014","0.0563","0.5393034","ext",2014-01-29,"F3","F","A","NA","NA"
"extr F3B_29012014","0.0563","0.3425614","ext",2014-01-29,"F3","F","B","NA","NA"
"extr F3C_29012014","0.6438","1.596869","ext",2014-01-29,"F3","F","C","NA","NA"
"extr F3D_29012014","0.0563","-0.1779222","ext",2014-01-29,"F3","F","D","NA","NA"
"extr F3E_29012014","0.32505","0.264135","ext",2014-01-29,"F3","F","E","NA","NA"
"ext bnk 29012014","0.0563","0.0553238","bnk",2014-01-29,"NA","NA","NA","NA","NA"
"ext bnk 29012014","0.0563","0.0475524","bnk",2014-01-29,"NA","NA","NA","NA","NA"
"ext bnk 29012014","0.0563","0.0422822","bnk",2014-01-29,"NA","NA","NA","NA","NA"
"extr M3A_30012014","0.0563","0.2732012","ext",2014-01-30,"M3","M","A","NA","NA"
"extr M3B_30012014","0.30005","0.288419","ext",2014-01-30,"M3","M","B","NA","NA"
"extr M3C_30012014","0.11255","0.4750834","ext",2014-01-30,"M3","M","C","NA","NA"
"extr M3D_30012014","0.11255","0.2064826","ext",2014-01-30,"M3","M","D","NA","NA"
"extr M3E_30012014","0.0563","0.2996302","ext",2014-01-30,"M3","M","E","NA","NA"
"extr S1A_30012014","0.0563","0.1733222","ext",2014-01-30,"S1","S","A","NA","NA"
"extr S1B_30012014","0.0563","0.2225038","ext",2014-01-30,"S1","S","B","NA","NA"
"extr S1C_30012014","0.0563","0.2000424","ext",2014-01-30,"S1","S","C","NA","NA"
"extr S1D_30012014","0.0563","0.1509154","ext",2014-01-30,"S1","S","D","NA","NA"
"extr S1E_30012014","0.0563","0.2411874","ext",2014-01-30,"S1","S","E","NA","NA"
"ext bnk 30012014","0.0563","0.0436628","bnk",2014-01-30,"NA","NA","NA","NA","NA"
"ext bnk 30012014","0.0563","0.0417466","bnk",2014-01-30,"NA","NA","NA","NA","NA"
"ext bnk 30012014","0.0563","0.0389932","bnk",2014-01-30,"NA","NA","NA","NA","NA"
"extr F1A_11022014","0.11255","0.6082528","ext",2014-02-11,"F1","F","A","NA","NA"
"extr F1B_11022014","0.0563","0.3999824","ext",2014-02-11,"F1","F","B","NA","NA"
"extr F1C_11022014","0.0563","0.2917288","ext",2014-02-11,"F1","F","C","NA","NA"
"extr F1D_11022014","0.15005","0.4840768","ext",2014-02-11,"F1","F","D","NA","NA"
"extr F1E_11022014","0.0563","0.5006284","ext",2014-02-11,"F1","F","E","NA","NA"
"extr M3A_11022014","0.33755","0.225109","ext",2014-02-11,"M3","M","A","NA","NA"
"extr M3B_11022014","0.3688","0.2571696","ext",2014-02-11,"M3","M","B","NA","NA"
"extr M3C_11022014","0.3563","0.2189184","ext",2014-02-11,"M3","M","C","NA","NA"
"extr M3D_11022014","0.22505","0.3334614","ext",2014-02-11,"M3","M","D","NA","NA"
"extr M3E_11022014","0.53755","0.3089876","ext",2014-02-11,"M3","M","E","NA","NA"
"extr M1A_11022014","0.0563","0.2946512","ext",2014-02-11,"M1","M","A","NA","NA"
"extr M1B_11022014","0.0563","0.2162872","ext",2014-02-11,"M1","M","B","NA","NA"
"extr M1C_11022014","0.0563","0.192596","ext",2014-02-11,"M1","M","C","NA","NA"
"extr M1D_11022014","0.10005","0.3258798","ext",2014-02-11,"M1","M","D","NA","NA"
"ext bnk 11022014","0.0563","0.0567122","bnk",2014-02-11,"NA","NA","NA","NA","NA"
"ext bnk 11022014","0.1967","0.0668236","bnk",2014-02-11,"NA","NA","NA","NA","NA"
"ext bnk 11022014","0.0215","0.0642808","bnk",2014-02-11,"NA","NA","NA","NA","NA"
"extr S3A_12022014","0.2405","0.1834804","ext",2014-02-12,"S3","S","A","NA","NA"
"extr S3B_12022014","0.1967","0.1079533","ext",2014-02-12,"S3","S","B","NA","NA"
"extr S3C_12022014","0.0507","0.1600693","ext",2014-02-12,"S3","S","C","NA","NA"
"extr S3D_12022014","0.2624","0.276552","ext",2014-02-12,"S3","S","D","NA","NA"
"extr S3E_12022014","0.070118","0.1836376","ext",2014-02-12,"S3","S","E","NA","NA"
"extr F2A_12022014","0.0872","0.1902209","ext",2014-02-12,"F2","F","A","NA","NA"
