"Site","Chamber","DateField","TestType","DateLabBegin","DateIncubBegin","SampleID","ExtractionSoilWeight","ExtractantVol","SoilWetWeight_DarroMinusBaggie","SoilDryWeight_TownMinusPapBag","NO3_N_mgL","NH4_N_mgL","NO3_N_mgL_blankcorr","NH4_N_mgL_blankcorr","SampleSoilWater_g","SampleSoilWater_L","TotalExtractantVol_L","NO3_N_mgN","NH4_N_mgN","NO3_N_NH4_N_mgN","ExtractionSoilWeight_DryEquiv","NO3_N_mgNg","NH4_N_mgNg","NO3_N_NH4_N_mgNg"
"SM","A","7/3/14","Ext","7/3/14",NA,"SMA_07032014",10.3,50,246.71,193.95,1.0492,2.686,1.0492,2.686,2.20269952575899,0.00220269952575899,0.052202699525759,0.0547710723424263,0.140216450926189,0.194987523268615,8.09730047424101,0.00676411509201901,0.0173164440880319,0.0240805591800509
"SM","B","7/3/14","Ext","7/3/14",NA,"SMB_07032014",9.83,50,267.31,210.85,0.935143,0.666,0.935143,0.666,2.07624780217725,0.00207624780217725,0.0520762478021772,0.0486987385984714,0.03468278103625,0.0833815196347215,7.75375219782275,0.00628066739251043,0.00447303191427615,0.0107536993067866
"SM","C","7/3/14","Ext","7/3/14",NA,"SMC_07032014",9.67,50,357.51,277.45,0.8098,2.471,0.8098,2.471,2.1654784481553,0.0021654784481553,0.0521654784481553,0.0422436044473162,0.128900897245392,0.171144501692708,7.5045215518447,0.00562908696516864,0.0171764310828991,0.0228055180480678
"SM","D","7/3/14","Ext","7/3/14",NA,"SMD_07032014",9.53,50,376.61,290.15,2.37445,4.013,2.37445,4.013,2.18784365789544,0.00218784365789544,0.0521878436578954,0.12391742537349,0.209429816599134,0.333347241972624,7.34215634210456,0.0168775247488083,0.028524292706508,0.0454018174553163
"SM","E","7/3/14","Ext","7/3/14",NA,"SME_07032014",9.88,50,477.71,372.65,1.1689,1.176,1.1689,1.176,2.17285131146512,0.00217285131146512,0.0521728513114651,0.0609848458979716,0.061355273142283,0.122340119040255,7.70714868853489,0.00791276363834687,0.00796082645110438,0.0158735900894512
"M2","A","7/3/14","Ext","7/3/14",NA,"M2A_07032014",10.12,50,529.61,441.95,1.2886,0.369,1.2886,0.369,1.67504238968297,0.00167504238968297,0.051675042389683,0.0665884596233455,0.019068090641793,0.0856565502651385,8.44495761031703,0.00788499631330248,0.00225792615210974,0.0101429224654122
"M2","B","7/3/14","Ext","7/3/14",NA,"M2B_07032014",10.39,50,525.61,439.95,2.4172,0.399,2.4172,0.399,1.69328475485626,0.00169328475485626,0.0516932847548563,0.124953007909439,0.0206256206171877,0.145578628526626,8.69671524514374,0.014367839395364,0.00237165642840899,0.016739495823773
"M2","C","7/3/14","Ext","7/3/14",NA,"M2C_07032014",9.53,50,267.71,224.15,2.18635,0.365,2.18635,0.365,1.55065854842927,0.00155065854842927,0.0515506585484293,0.112707782317358,0.0188159903701767,0.131523772687535,7.97934145157073,0.0141249479047136,0.00235808813100394,0.0164830360357175
"M2","D","7/3/14","Ext","7/3/14",NA,"M2D_07032014",9.88,50,554.61,462.65,2.11795,0.331,2.11795,0.331,1.63820486467969,0.00163820486467969,0.0516382048646797,0.109367135993148,0.017092245810209,0.126459381803357,8.24179513532031,0.0132698197658971,0.00207384987488465,0.0153436696407818
"M2","E","7/3/14","Ext","7/3/14",NA,"M2E_07032014",10,50,586.61,484.75,2.532,0.296,2.532,0.296,1.73641772216635,0.00173641772216635,0.0517364177221663,0.130996609672525,0.0153139796457612,0.146310589318286,8.26358227783365,0.0158522787416194,0.00185318898401238,0.0177054677256318
