Site	LUtype	Chamber	SampleDate	Season	Row	MgmtFert	MgmtPlanting	SoilGravMoisture	cNH4+	cNO3-	netNmin	netNnitr	cDOC
F2	F	A	2013.06.13	Dry									
F2	F	B	2013.06.13	Dry									
F2	F	C	2013.06.13	Dry									
F2	F	D	2013.06.13	Dry									
F2	F	E	2013.06.13	Dry									
S1	S	A	2013.06.13	Dry									
S1	S	B	2013.06.13	Dry									
S1	S	C	2013.06.13	Dry									
S1	S	D	2013.06.13	Dry									
S1	S	E	2013.06.13	Dry									
M1	M	A	2013.06.14	Dry									
M1	M	B	2013.06.14	Dry									
M1	M	C	2013.06.14	Dry									
M1	M	D	2013.06.14	Dry									
M1	M	E	2013.06.14	Dry									
F3	F	A	2013.06.14	Dry									
F3	F	B	2013.06.14	Dry									
F3	F	C	2013.06.14	Dry									
F3	F	D	2013.06.14	Dry									
F3	F	E	2013.06.14	Dry									
S2	S	C	2013.06.18	Dry									
S2	S	D	2013.06.18	Dry									
S2	S	E	2013.06.18	Dry									
S2	S	A	2013.06.18	Dry									
S2	S	B	2013.06.18	Dry									
M2	M	C	2013.06.18	Dry									
M2	M	D	2013.06.18	Dry									
M2	M	E	2013.06.18	Dry									
M2	M	A	2013.06.18	Dry									
M2	M	B	2013.06.18	Dry									
F2	F	C	2013.06.20	Dry									
F2	F	D	2013.06.20	Dry									
F2	F	E	2013.06.20	Dry									
F2	F	A	2013.06.20	Dry									
F2	F	B	2013.06.20	Dry									
S1	S	C	2013.06.20	Dry									
S1	S	D	2013.06.20	Dry									
S1	S	E	2013.06.20	Dry									
S1	S	B	2013.06.20	Dry									
S1	S	A	2013.06.20	Dry									
M1	M	E	2013.06.20	Dry									
M1	M	D	2013.06.20	Dry									
M1	M	C	2013.06.20	Dry									
M1	M	B	2013.06.20	Dry									
M1	M	A	2013.06.20	Dry									
F2	F	C	2013.06.25	Dry									
F2	F	D	2013.06.25	Dry									
F2	F	E	2013.06.25	Dry									
F2	F	A	2013.06.25	Dry									
F2	F	B	2013.06.25	Dry									
M1	M	C	2013.06.25	Dry									
M1	M	D	2013.06.25	Dry									
M1	M	E	2013.06.25	Dry									
M1	M	A	2013.06.25	Dry									
M1	M	B	2013.06.25	Dry									
S1	S	C	2013.06.25	Dry									
S1	S	D	2013.06.25	Dry									
S1	S	E	2013.06.25	Dry									
S1	S	A	2013.06.25	Dry									
S1	S	B	2013.06.25	Dry									
S1	S	C	2013.06.27	Dry									
S1	S	D	2013.06.27	Dry									
S1	S	E	2013.06.27	Dry									
S1	S	A	2013.06.27	Dry									
S1	S	B	2013.06.27	Dry									
M1	M	A	2013.06.27	Dry									
M1	M	B	2013.06.27	Dry									
M1	M	C	2013.06.27	Dry									
M1	M	D	2013.06.27	Dry									
M1	M	E	2013.06.27	Dry									
F2	F	A	2013.06.27	Dry									
F2	F	B	2013.06.27	Dry									
F2	F	C	2013.06.27	Dry									
F2	F	D	2013.06.27	Dry									
F2	F	E	2013.06.27	Dry									
