Site	LUtype	BD	YrsDC_2015-Yr1	YrsSoya_2015-Yr1	pH	TotC	TotN	Cnratio	Clay%	SoyPlantDate	MaizePlantDate	SoyHarvestDate	MaizeHarvestDate	MaizeFert1	MaizeFert2
F1	F	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F2	F	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F3	F	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1	S	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	S	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	S	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SD	S	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SM	S	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M1	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M2	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M3	M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
